t_s,amp
0.000000,0.000916
0.010000,0.001038
0.020000,0.000702
0.023220,0.001465
0.033220,0.001038
0.043220,0.000427
0.046440,0.000854
0.056440,0.001312
0.066440,0.001312
0.069660,0.081055
0.079660,0.020111
0.089660,0.004364
0.092880,0.002258
0.102880,0.002289
0.112880,0.001099
0.116100,0.001709
0.126100,0.001251
0.136100,0.000763
0.139320,0.001984
0.149320,0.001251
0.159320,0.000519
0.162540,0.000916
0.172540,0.001343
0.182540,0.000946
0.185760,0.000641
0.195760,0.001404
0.205760,0.000641
0.208980,0.001007
0.218980,0.001282
0.228980,0.000458
0.232200,0.000763
0.242200,0.001038
0.252200,0.001831
0.255420,0.001221
0.265420,0.001526
0.275420,0.000854
0.278639,0.001282
0.288639,0.001221
0.298639,0.000702
0.301859,0.000977
0.311859,0.001190
0.321859,0.000641
0.325079,0.001068
0.335079,0.000916
0.345079,0.000824
0.348299,0.001709
0.358299,0.001007
0.368299,0.000854
0.371519,0.001404
0.381519,0.001953
0.391519,0.001648
0.394739,0.001984
0.404739,0.001617
0.414739,0.001068
0.417959,0.001282
0.427959,0.001282
0.437959,0.000885
0.441179,0.001160
0.451179,0.001434
0.461179,0.001038
0.464399,0.000916
0.474399,0.000977
0.484399,0.000763
0.487619,0.000671
0.497619,0.001221
0.507619,0.000946
0.510839,0.001526
0.520839,0.001617
0.530839,0.001190
0.534059,0.001068
0.544059,0.001160
0.554059,0.001251
0.557279,0.001282
0.567279,0.001465
0.577279,0.000610
0.580499,0.000671
0.590499,0.000763
0.600499,0.000763
0.603719,0.000824
0.613719,0.000854
0.623719,0.001099
0.626939,0.001068
0.636939,0.001007
0.646939,0.000946
0.650159,0.000793
0.660159,0.001160
0.670159,0.000519
0.673379,0.001343
0.683379,0.001068
0.693379,0.000549
0.696599,0.001038
0.706599,0.000885
0.716599,0.000854
0.719819,0.001129
0.729819,0.001312
0.739819,0.001526
0.743039,0.001404
0.753039,0.001251
0.763039,0.001068
0.766259,0.000977
0.776259,0.001678
0.786259,0.001068
0.789478,0.001434
0.799478,0.001160
0.809478,0.000732
0.812698,0.001007
0.822698,0.001312
0.832698,0.000854
0.835918,0.001129
0.845918,0.001007
0.855918,0.000824
0.859138,0.001190
0.869138,0.000946
0.879138,0.000641
0.882358,0.001007
0.892358,0.001587
0.902358,0.000427
0.905578,0.000763
0.915578,0.001221
0.925578,0.000610
0.928798,0.000793
0.938798,0.000885
0.948798,0.000763
0.952018,0.000885
0.962018,0.001617
0.972018,0.000519
0.975238,0.000946
0.985238,0.001282
0.995238,0.000488
0.998458,0.001099
1.008458,0.001160
1.018458,0.000641
1.021678,0.001038
1.031678,0.001312
1.041678,0.001190
1.044898,0.001190
1.054898,0.001129
1.064898,0.000885
1.068118,0.000763
1.078118,0.000793
1.088118,0.000366
1.091338,0.000885
1.101338,0.001251
1.111338,0.000946
1.114558,0.001251
1.124558,0.001160
1.134558,0.000702
1.137778,0.001678
1.147778,0.001312
1.157778,0.000885
1.160998,0.000977
1.170998,0.000732
1.180998,0.001495
1.184218,0.001587
1.194218,0.000854
1.204218,0.001556
1.207438,0.001495
1.217438,0.001373
1.227438,0.001404
1.230658,0.002289
1.240658,0.000885
1.250658,0.001099
1.253878,0.001007
1.263878,0.000824
1.273878,0.000732
1.277098,0.000702
1.287098,0.001221
1.297098,0.000854
1.300317,0.001129
1.310317,0.001495
1.320317,0.001465
1.323537,0.001221
1.333537,0.001282
1.343537,0.000763
1.346757,0.001373
1.356757,0.001129
1.366757,0.000763
1.369977,0.001160
1.379977,0.000885
1.389977,0.000610
1.393197,0.000854
1.403197,0.001068
1.413197,0.000854
1.416417,0.001007
1.426417,0.000732
1.436417,0.001160
1.439637,0.001129
1.449637,0.000763
1.459637,0.000397
1.462857,0.000732
1.472857,0.000702
1.482857,0.000641
1.486077,0.000946
1.496077,0.000916
1.506077,0.001068
1.509297,0.001343
1.519297,0.001190
1.529297,0.000824
1.532517,0.001373
1.542517,0.000946
1.552517,0.000885
1.555737,0.001465
1.565737,0.001160
1.575737,0.000916
1.578957,0.001129
1.588957,0.001434
1.598957,0.001007
1.602177,0.001465
1.612177,0.001434
1.622177,0.000946
1.625397,0.001190
1.635397,0.000977
1.645397,0.001495
1.648617,0.001160
1.658617,0.001190
1.668617,0.000671
1.671837,0.000854
1.681837,0.001434
1.691837,0.000854
1.695057,0.001190
1.705057,0.001221
1.715057,0.001099
1.718277,0.001770
1.728277,0.001770
1.738277,0.000916
1.741497,0.002167
1.751497,0.002228
1.761497,0.000824
1.764717,0.001740
1.774717,0.001099
1.784717,0.001190
1.787937,0.000885
1.797937,0.000916
1.807937,0.000702
1.811156,0.000916
1.821156,0.000916
1.831156,0.000793
1.834376,0.001007
1.844376,0.001434
1.854376,0.001007
1.857596,0.000854
1.867596,0.001099
1.877596,0.000610
1.880816,0.000580
1.890816,0.000641
1.900816,0.000732
1.904036,0.000916
1.914036,0.002289
1.924036,0.000549
1.927256,0.001617
1.937256,0.001068
1.947256,0.000732
1.950476,0.000732
1.960476,0.001038
1.970476,0.000610
1.973696,0.001251
1.983696,0.001373
1.993696,0.001465
1.996916,0.001221
2.006916,0.000763
2.016916,0.000641
2.020136,0.001099
2.030136,0.000946
2.040136,0.000641
2.043356,0.000854
2.053356,0.001007
2.063356,0.001373
2.066576,0.000824
2.076576,0.001038
2.086576,0.000946
2.089796,0.001434
2.099796,0.001129
2.109796,0.000519
2.113016,0.000977
2.123016,0.000885
2.133016,0.000885
2.136236,0.001007
2.146236,0.001343
2.156236,0.000610
2.159456,0.001129
2.169456,0.001465
2.179456,0.000793
2.182676,0.001129
2.192676,0.001160
2.202676,0.000397
2.205896,0.001221
2.215896,0.000824
2.225896,0.000824
2.229116,0.001160
2.239116,0.001282
2.249116,0.001007
2.252336,0.001251
2.262336,0.000946
2.272336,0.000732
2.275556,0.000916
2.285556,0.001038
2.295556,0.000854
2.298776,0.001129
2.308776,0.000916
2.318776,0.000854
2.321995,0.001404
2.331995,0.000946
2.341995,0.001129
2.345215,0.001312
2.355215,0.001160
2.365215,0.000793
2.368435,0.000793
2.378435,0.001099
2.388435,0.000854
2.391655,0.000671
2.401655,0.001434
2.411655,0.000458
2.414875,0.001404
2.424875,0.001099
2.434875,0.000854
2.438095,0.000885
2.448095,0.000885
2.458095,0.000641
2.461315,0.001068
2.471315,0.000977
2.481315,0.000916
2.484535,0.001251
2.494535,0.000977
2.504535,0.000854
2.507755,0.001038
2.517755,0.001099
2.527755,0.000824
2.530975,0.001190
2.540975,0.000793
2.550975,0.000763
2.554195,0.000916
2.564195,0.000793
2.574195,0.000366
2.577415,0.001099
2.587415,0.000793
2.597415,0.000549
2.600635,0.001221
2.610635,0.000977
2.620635,0.000916
2.623855,0.000885
2.633855,0.001251
2.643855,0.001038
2.647075,0.000793
2.657075,0.001007
2.667075,0.000946
2.670295,0.000671
2.680295,0.000580
2.690295,0.000610
2.693515,0.001160
2.703515,0.000885
2.713515,0.000488
2.716735,0.000793
2.726735,0.001282
2.736735,0.000854
2.739955,0.000916
2.749955,0.000916
2.759955,0.001404
2.763175,0.001617
2.773175,0.001160
2.783175,0.001404
2.786395,0.001251
2.796395,0.001343
2.806395,0.001709
2.809615,0.001495
2.819615,0.003296
2.829615,0.002411
2.832834,0.002014
2.842834,0.002075
2.852834,0.001343
2.856054,0.001984
2.866054,0.001465
2.876054,0.001953
2.879274,0.001831
2.889274,0.001801
2.899274,0.002289
2.902494,0.001587
2.912494,0.002167
2.922494,0.001282
2.925714,0.001801
2.935714,0.001160
2.945714,0.001404
2.948934,0.001556
2.958934,0.001495
2.968934,0.001312
2.972154,0.001404
2.982154,0.000977
2.992154,0.000763
2.995374,0.001190
3.005374,0.001099
3.015374,0.000854
3.018594,0.001282
3.028594,0.001251
3.038594,0.001129
3.041814,0.000854
3.051814,0.001099
3.061814,0.000763
3.065034,0.001343
3.075034,0.001343
3.085034,0.000977
3.088254,0.001556
3.098254,0.000946
3.108254,0.001099
3.111474,0.000916
3.121474,0.001465
3.131474,0.001038
3.134694,0.002045
3.144694,0.001434
3.154694,0.001495
3.157914,0.001617
3.167914,0.000732
3.177914,0.001038
3.181134,0.001251
3.191134,0.001312
3.201134,0.000641
3.204354,0.000793
3.214354,0.000824
3.224354,0.000458
3.227574,0.000702
3.237574,0.001068
3.247574,0.000854
3.250794,0.001007
3.260794,0.001221
3.270794,0.000854
3.274014,0.000641
3.284014,0.000854
3.294014,0.000671
3.297234,0.000946
3.307234,0.000854
3.317234,0.000824
3.320454,0.000793
3.330454,0.000885
3.340454,0.000641
3.343673,0.001068
3.353673,0.001312
3.363673,0.000275
3.366893,0.001007
3.376893,0.000977
3.386893,0.000977
3.390113,0.001160
3.400113,0.001251
3.410113,0.001190
3.413333,0.001221
3.423333,0.001526
3.433333,0.001740
3.436553,0.040894
3.446553,0.003204
3.456553,0.001282
3.459773,0.001160
3.469773,0.000946
3.479773,0.000916
3.482993,0.000946
3.492993,0.001282
3.502993,0.000946
3.506213,0.001129
3.516213,0.001251
3.526213,0.000732
3.529433,0.001221
3.539433,0.001404
3.549433,0.068176
3.552653,0.026276
3.562653,0.003601
3.572653,0.001556
3.575873,0.001617
3.585873,0.001740
3.595873,0.001740
3.599093,0.001068
3.609093,0.000946
3.619093,0.000885
3.622313,0.001404
3.632313,0.001099
3.642313,0.000580
3.645533,0.001251
3.655533,0.001373
3.665533,0.001160
3.668753,0.001160
3.678753,0.001068
3.688753,0.000763
3.691973,0.000824
3.701973,0.000580
3.711973,0.001221
3.715193,0.001068
3.725193,0.001160
3.735193,0.001099
3.738413,0.001160
3.748413,0.000946
3.758413,0.000854
3.761633,0.001282
3.771633,0.001434
3.781633,0.000916
3.784853,0.001312
3.794853,0.001373
3.804853,0.001404
3.808073,0.001160
3.818073,0.001282
3.828073,0.000885
3.831293,0.002350
3.841293,0.001740
3.851293,0.001343
3.854512,0.001160
3.864512,0.001099
3.874512,0.001038
3.877732,0.001282
3.887732,0.001434
3.897732,0.001312
3.900952,0.001556
3.910952,0.000671
3.920952,0.000977
3.924172,0.001099
3.934172,0.000885
3.944172,0.000580
3.947392,0.001892
3.957392,0.000824
3.967392,0.000916
3.970612,0.001129
3.980612,0.000885
3.990612,0.000763
3.993832,0.000824
4.003832,0.001465
4.013832,0.000824
4.017052,0.001038
4.027052,0.001373
4.037052,0.000885
4.040272,0.000977
4.050272,0.001251
4.060272,0.000702
4.063492,0.001221
4.073492,0.001587
4.083492,0.000885
4.086712,0.001404
4.096712,0.001343
4.106712,0.001495
4.109932,0.000854
4.119932,0.000977
4.129932,0.000793
4.133152,0.001373
4.143152,0.001282
4.153152,0.001129
4.156372,0.000885
4.166372,0.001190
4.176372,0.001099
4.179592,0.001007
4.189592,0.001160
4.199592,0.000793
4.202812,0.000732
4.212812,0.000977
4.222812,0.000397
4.226032,0.001312
4.236032,0.001556
4.246032,0.001526
4.249252,0.001495
4.259252,0.001068
4.269252,0.001221
4.272472,0.001404
4.282472,0.001526
4.292472,0.001068
4.295692,0.001007
4.305692,0.001099
4.315692,0.000397
4.318912,0.001068
4.328912,0.001190
4.338912,0.001007
4.342132,0.001495
4.352132,0.002045
4.362132,0.001923
4.365351,0.001129
4.375351,0.001007
4.385351,0.001343
4.388571,0.001129
4.398571,0.002319
4.408571,0.001953
4.411791,0.001312
4.421791,0.002045
4.431791,0.001343
4.435011,0.000732
4.445011,0.001038
4.455011,0.001221
4.458231,0.002075
4.468231,0.001801
4.478231,0.000946
4.481451,0.001190
4.491451,0.001343
4.501451,0.000854
4.504671,0.000885
4.514671,0.001740
4.524671,0.000946
4.527891,0.001038
4.537891,0.000702
4.547891,0.001099
4.551111,0.000977
4.561111,0.001404
4.571111,0.001251
4.574331,0.001495
4.584331,0.002197
4.594331,0.001495
4.597551,0.001495
4.607551,0.001587
4.617551,0.001038
4.620771,0.001160
4.630771,0.001160
4.640771,0.000427
4.643991,0.001190
4.653991,0.000916
4.663991,0.000366
4.667211,0.000885
4.677211,0.001129
4.687211,0.000885
4.690431,0.000824
4.700431,0.000916
4.710431,0.000671
4.713651,0.000946
4.723651,0.001801
4.733651,0.000671
4.736871,0.001312
4.746871,0.001190
4.756871,0.001007
4.760091,0.001129
4.770091,0.000793
4.780091,0.000946
4.783311,0.001404
4.793311,0.001221
4.803311,0.000793
4.806531,0.000977
4.816531,0.001190
4.826531,0.000549
4.829751,0.001251
4.839751,0.000763
4.849751,0.000702
4.852971,0.000946
4.862971,0.001190
4.872971,0.001190
4.876190,0.001038
4.886190,0.001526
4.896190,0.000610
4.899410,0.001221
4.909410,0.001343
4.919410,0.000885
4.922630,0.001617
4.932630,0.000763
4.942630,0.000885
4.945850,0.000763
4.955850,0.000580
4.965850,0.000641
4.969070,0.001099
4.979070,0.001129
4.989070,0.000824
4.992290,0.001251
5.002290,0.001556
5.012290,0.002075
5.015510,0.002014
5.025510,0.001007
5.035510,0.001190
5.038730,0.001312
5.048730,0.001617
5.058730,0.000916
5.061950,0.001312
5.071950,0.000977
5.081950,0.001099
5.085170,0.001007
5.095170,0.001129
5.105170,0.001312
5.108390,0.001190
5.118390,0.001617
5.128390,0.001068
5.131610,0.001617
5.141610,0.001221
5.151610,0.001251
5.154830,0.001282
5.164830,0.000946
