frame_idx,t_ns
0,0
1,39416000
2,67047000
3,111254600
4,147364800
5,182201100
6,209010100
7,239307700
8,272522100
9,304798300
10,339122300
11,373400500
12,404695600
13,437524800
14,463487500
15,517512100
16,551577500
17,581200000
18,611011100
19,642760700
20,670899000
21,711258500
22,736447900
23,767820600
24,799190400
25,836135300
26,866778700
27,912469100
28,942981400
29,976066400
30,1006628600
31,1039970100
32,1072900200
33,1102746400
34,1134528700
35,1166847600
36,1201189900
37,1232817500
38,1263508200
39,1312196700
40,1342714700
41,1374499400
42,1408949700
43,1440269000
44,1470485000
45,1503726200
46,1534702700
47,1566450200
48,1599662000
49,1631713700
50,1662514000
51,1711103100
52,1744959400
53,1775732100
54,1806949300
55,1839324700
56,1872312600
57,1902697600
58,1934366800
59,1967480500
60,1998575900
61,2031810800
62,2067327300
63,2111909400
64,2143001800
65,2175452200
66,2211080400
67,2238404900
68,2270256900
69,2302665200
70,2334828800
