t_s,amp
0.000000,0.026489
0.010000,0.029358
0.020000,0.020081
0.023220,0.026978
0.033220,0.036194
0.043220,0.024384
0.046440,0.026581
0.056440,0.033661
0.066440,0.028412
0.069660,0.036682
0.079660,0.048492
0.089660,0.027649
0.092880,0.036438
0.102880,0.028381
0.112880,0.017761
0.116100,0.018005
0.126100,0.017944
0.136100,0.012665
0.139320,0.017975
0.149320,0.019348
0.159320,0.020020
0.162540,0.015808
0.172540,0.028961
0.182540,0.025085
0.185760,0.030762
0.195760,0.031860
0.205760,0.027496
0.208980,0.026855
0.218980,0.038055
0.228980,0.031830
0.232200,0.038300
0.242200,0.036743
0.252200,0.034119
0.255420,0.023895
0.265420,0.015625
0.275420,0.019348
0.278639,0.043610
0.288639,0.053680
0.298639,0.045471
0.301859,0.031311
0.311859,0.032196
0.321859,0.016144
0.325079,0.014130
0.335079,0.010223
0.345079,0.013123
0.348299,0.010223
0.358299,0.009521
0.368299,0.002777
0.371519,0.008026
0.381519,0.045135
0.391519,0.043365
0.394739,0.017029
0.404739,0.109436
0.414739,0.018982
0.417959,0.016083
0.427959,0.037994
0.437959,0.034180
0.441179,0.020477
0.451179,0.026550
0.461179,0.017822
0.464399,0.024384
0.474399,0.031525
0.484399,0.013977
0.487619,0.023682
0.497619,0.021149
0.507619,0.020782
0.510839,0.021790
0.520839,0.031677
0.530839,0.012268
0.534059,0.022949
0.544059,0.031403
0.554059,0.022705
0.557279,0.042114
0.567279,0.043976
0.577279,0.025421
0.580499,0.021881
0.590499,0.023224
0.600499,0.007660
0.603719,0.021484
0.613719,0.025635
0.623719,0.020355
0.626939,0.019043
0.636939,0.171753
0.646939,0.070343
0.650159,0.021912
0.660159,0.014343
0.670159,0.012299
0.673379,0.016632
0.683379,0.014099
0.693379,0.007019
0.696599,0.008911
0.706599,0.246429
0.716599,0.025970
0.719819,0.014648
0.729819,0.011475
0.739819,0.011871
