t_ns,ch1_V,ch2_V,ch3_V
0,0.500000,1.500000,2.500000
1618000,0.500000,1.500000,2.500000
3239199,0.500000,1.500000,2.500000
4976100,0.500000,1.500000,2.500000
6593400,0.500000,1.500000,2.500000
8194499,0.500000,1.500000,2.500000
9971700,0.500000,1.500000,2.500000
11593700,0.500000,1.500000,2.500000
13341700,0.500000,1.500000,2.500000
15388200,0.500000,1.500000,2.500000
17234700,0.500000,1.500000,2.500000
20574800,0.500000,1.500000,2.500000
25659300,0.500000,1.500000,2.500000
26803900,0.500000,1.500000,2.500000
28399000,0.500000,1.500000,2.500000
32486399,0.500000,1.500000,2.500000
35492800,0.500000,1.500000,2.500000
41101800,0.500000,1.500000,2.500000
44021500,0.500000,1.500000,2.500000
45297000,0.500000,1.500000,2.500000
46995199,0.500000,1.500000,2.500000
52334200,0.500000,1.500000,2.500000
53484299,0.500000,1.500000,2.500000
60181600,0.500000,1.500000,2.500000
61715399,0.500000,1.500000,2.500000
65611500,0.500000,1.500000,2.500000
66739900,0.500000,1.500000,2.500000
68847300,0.500000,1.500000,2.500000
70565300,0.500000,1.500000,2.500000
72465900,0.500000,1.500000,2.500000
73574000,0.500000,1.500000,2.500000
76054400,0.500000,1.500000,2.500000
81402700,0.500000,1.500000,2.500000
82768200,0.500000,1.500000,2.500000
84303900,0.500000,1.500000,2.500000
85912400,0.500000,1.500000,2.500000
89621400,0.500000,1.500000,2.500000
95585499,0.500000,1.500000,2.500000
98353699,0.500000,1.500000,2.500000
99449400,0.500000,1.500000,2.500000
105164500,0.500000,1.500000,2.500000
106995200,0.500000,1.500000,2.500000
114579300,0.500000,1.500000,2.500000
115713600,0.500000,1.500000,2.500000
117230800,0.500000,1.500000,2.500000
120808799,0.500000,1.500000,2.500000
123313299,0.500000,1.500000,2.500000
124463799,0.500000,1.500000,2.500000
129060800,0.500000,1.500000,2.500000
130757700,0.500000,1.500000,2.500000
131913199,0.500000,1.500000,2.500000
134492000,0.500000,1.500000,2.500000
143001399,0.500000,1.500000,2.500000
145587999,0.500000,1.500000,2.500000
146710300,0.500000,1.500000,2.500000
148374199,0.500000,1.500000,2.500000
154891500,0.500000,1.500000,2.500000
156104400,0.500000,1.500000,2.500000
157949600,0.500000,1.500000,2.500000
163937600,0.500000,1.500000,2.500000
165076099,0.500000,1.500000,2.500000
166686299,0.500000,1.500000,2.500000
168298900,0.500000,1.500000,2.500000
172533100,0.500000,1.500000,2.500000
173964400,0.500000,1.500000,2.500000
175481800,0.500000,1.500000,2.500000
179380000,0.500000,1.500000,2.500000
183321600,0.500000,1.500000,2.500000
189378399,0.500000,1.500000,2.500000
192391800,0.500000,1.500000,2.500000
193722299,0.500000,1.500000,2.500000
195238200,0.500000,1.500000,2.500000
196833900,0.500000,1.500000,2.500000
204099900,0.500000,1.500000,2.500000
205752499,0.500000,1.500000,2.500000
207636899,0.500000,1.500000,2.500000
211880800,0.500000,1.500000,2.500000
213514200,0.500000,1.500000,2.500000
215105300,0.500000,1.500000,2.500000
216870299,0.500000,1.500000,2.500000
221425900,0.500000,1.500000,2.500000
223042199,0.500000,1.500000,2.500000
224697500,0.500000,1.500000,2.500000
227989300,0.500000,1.500000,2.500000
231882300,0.500000,1.500000,2.500000
238840700,0.500000,1.500000,2.500000
240012400,0.500000,1.500000,2.500000
241649399,0.500000,1.500000,2.500000
243347000,0.500000,1.500000,2.500000
250978299,0.500000,1.500000,2.500000
253946900,0.500000,1.500000,2.500000
255107199,0.500000,1.500000,2.500000
261170900,0.500000,1.500000,2.500000
262421600,0.500000,1.500000,2.500000
264221299,0.500000,1.500000,2.500000
266042600,0.500000,1.500000,2.500000
267146199,0.500000,1.500000,2.500000
268750499,0.500000,1.500000,2.500000
270672400,0.500000,1.500000,2.500000
274368500,0.500000,1.500000,2.500000
275489799,0.500000,1.500000,2.500000
277957600,0.500000,1.500000,2.500000
281930500,0.500000,1.500000,2.500000
285549899,0.500000,1.500000,2.500000
291783000,0.500000,1.500000,2.500000
294638300,0.500000,1.500000,2.500000
296461400,0.500000,1.500000,2.500000
297633900,0.500000,1.500000,2.500000
299232000,0.500000,1.500000,2.500000
301915500,0.500000,1.500000,2.500000
303524499,0.500000,1.500000,2.500000
305480200,0.500000,1.500000,2.500000
311816699,0.500000,1.500000,2.500000
322000500,0.500000,1.500000,2.500000
323452700,0.500000,1.500000,2.500000
324599899,0.500000,1.500000,2.500000
326222299,0.500000,1.500000,2.500000
329026100,0.500000,1.500000,2.500000
331138800,0.500000,1.500000,2.500000
335835199,0.500000,1.500000,2.500000
337538600,0.500000,1.500000,2.500000
349059300,0.500000,1.500000,2.500000
353878000,0.500000,1.500000,2.500000
356464399,0.500000,1.500000,2.500000
358403500,0.500000,1.500000,2.500000
363702200,0.500000,1.500000,2.500000
365351300,0.500000,1.500000,2.500000
367029300,0.500000,1.500000,2.500000
369120000,0.500000,1.500000,2.500000
371689200,0.500000,1.500000,2.500000
377345000,0.500000,1.500000,2.500000
384294700,0.500000,1.500000,2.500000
385429300,0.500000,1.500000,2.500000
387052600,0.500000,1.500000,2.500000
390396800,0.500000,1.500000,2.500000
391964400,0.500000,1.500000,2.500000
394266499,0.500000,1.500000,2.500000
398756300,0.500000,1.500000,2.500000
407039600,0.500000,1.500000,2.500000
408689100,0.500000,1.500000,2.500000
410679400,0.500000,1.500000,2.500000
412297399,0.500000,1.500000,2.500000
417401700,0.500000,1.500000,2.500000
419043699,0.500000,1.500000,2.500000
420609100,0.500000,1.500000,2.500000
428481200,0.500000,1.500000,2.500000
429799500,0.500000,1.500000,2.500000
434737100,0.500000,1.500000,2.500000
435850800,0.500000,1.500000,2.500000
437270400,0.500000,1.500000,2.500000
438963500,0.500000,1.500000,2.500000
440394500,0.500000,1.500000,2.500000
442439500,0.500000,1.500000,2.500000
443657800,0.500000,1.500000,2.500000
445254999,0.500000,1.500000,2.500000
450251900,0.500000,1.500000,2.500000
451376299,0.500000,1.500000,2.500000
452972200,0.500000,1.500000,2.500000
454745399,0.500000,1.500000,2.500000
457106200,0.500000,1.500000,2.500000
458578099,0.500000,1.500000,2.500000
464346000,0.500000,1.500000,2.500000
472066499,0.500000,1.500000,2.500000
473220700,0.500000,1.500000,2.500000
474851300,0.500000,1.500000,2.500000
476552300,0.500000,1.500000,2.500000
485606700,0.500000,1.500000,2.500000
486829200,0.500000,1.500000,2.500000
488252200,0.500000,1.500000,2.500000
494370300,0.500000,1.500000,2.500000
495658600,0.500000,1.500000,2.500000
496887300,0.500000,1.500000,2.500000
499496500,0.500000,1.500000,2.500000
501908999,0.500000,1.500000,2.500000
506971800,0.500000,1.500000,2.500000
508286399,0.500000,1.500000,2.500000
510550999,0.500000,1.500000,2.500000
511996599,0.500000,1.500000,2.500000
514180099,0.500000,1.500000,2.500000
519105400,0.500000,1.500000,2.500000
528562600,0.500000,1.500000,2.500000
532048599,0.500000,1.500000,2.500000
533801099,0.500000,1.500000,2.500000
535422400,0.500000,1.500000,2.500000
537636300,0.500000,1.500000,2.500000
539230000,0.500000,1.500000,2.500000
541279000,0.500000,1.500000,2.500000
546675300,0.500000,1.500000,2.500000
553815400,0.500000,1.500000,2.500000
557055900,0.500000,1.500000,2.500000
558345600,0.500000,1.500000,2.500000
559941999,0.500000,1.500000,2.500000
561430599,0.500000,1.500000,2.500000
567951299,0.500000,1.500000,2.500000
569053200,0.500000,1.500000,2.500000
570901800,0.500000,1.500000,2.500000
580458700,0.500000,1.500000,2.500000
582093600,0.500000,1.500000,2.500000
586217700,0.500000,1.500000,2.500000
587705700,0.500000,1.500000,2.500000
589730899,0.500000,1.500000,2.500000
591961800,0.500000,1.500000,2.500000
593324300,0.500000,1.500000,2.500000
595513400,0.500000,1.500000,2.500000
600369799,0.500000,1.500000,2.500000
601477399,0.500000,1.500000,2.500000
603069199,0.500000,1.500000,2.500000
604855900,0.500000,1.500000,2.500000
607983599,0.500000,1.500000,2.500000
620942500,0.500000,1.500000,2.500000
622050999,0.500000,1.500000,2.500000
623651800,0.500000,1.500000,2.500000
625840799,0.500000,1.500000,2.500000
627558600,0.500000,1.500000,2.500000
628824400,0.500000,1.500000,2.500000
631428300,0.500000,1.500000,2.500000
635117000,0.500000,1.500000,2.500000
641765799,0.500000,1.500000,2.500000
644671300,0.500000,1.500000,2.500000
645855399,0.500000,1.500000,2.500000
647460600,0.500000,1.500000,2.500000
649052900,0.500000,1.500000,2.500000
650601300,0.500000,1.500000,2.500000
655850900,0.500000,1.500000,2.500000
656962400,0.500000,1.500000,2.500000
658807700,0.500000,1.500000,2.500000
665718100,0.500000,1.500000,2.500000
668017100,0.500000,1.500000,2.500000
669462800,0.500000,1.500000,2.500000
673486500,0.500000,1.500000,2.500000
675036200,0.500000,1.500000,2.500000
678356900,0.500000,1.500000,2.500000
679821000,0.500000,1.500000,2.500000
681389500,0.500000,1.500000,2.500000
685046300,0.500000,1.500000,2.500000
686160199,0.500000,1.500000,2.500000
687771000,0.500000,1.500000,2.500000
689474800,0.500000,1.500000,2.500000
691513300,0.500000,1.500000,2.500000
695145999,0.500000,1.500000,2.500000
700507100,0.500000,1.500000,2.500000
708376100,0.500000,1.500000,2.500000
709508600,0.500000,1.500000,2.500000
711019900,0.500000,1.500000,2.500000
719872200,0.500000,1.500000,2.500000
721169500,0.500000,1.500000,2.500000
722835799,0.500000,1.500000,2.500000
728360300,0.500000,1.500000,2.500000
729560899,0.500000,1.500000,2.500000
731864599,0.500000,1.500000,2.500000
733690699,0.500000,1.500000,2.500000
735351800,0.500000,1.500000,2.500000
741980700,0.500000,1.500000,2.500000
744152300,0.500000,1.500000,2.500000
745414100,0.500000,1.500000,2.500000
747013000,0.500000,1.500000,2.500000
749715600,0.500000,1.500000,2.500000
753463699,0.500000,1.500000,2.500000
760692000,0.500000,1.500000,2.500000
762350500,0.500000,1.500000,2.500000
763977200,0.500000,1.500000,2.500000
765629000,0.500000,1.500000,2.500000
768850799,0.500000,1.500000,2.500000
770447200,0.500000,1.500000,2.500000
773045100,0.500000,1.500000,2.500000
785660400,0.500000,1.500000,2.500000
788418399,0.500000,1.500000,2.500000
790054199,0.500000,1.500000,2.500000
791579800,0.500000,1.500000,2.500000
799826800,0.500000,1.500000,2.500000
801354300,0.500000,1.500000,2.500000
808337300,0.500000,1.500000,2.500000
809533899,0.500000,1.500000,2.500000
816013499,0.500000,1.500000,2.500000
817606000,0.500000,1.500000,2.500000
819221500,0.500000,1.500000,2.500000
824306599,0.500000,1.500000,2.500000
825781500,0.500000,1.500000,2.500000
827310900,0.500000,1.500000,2.500000
831701399,0.500000,1.500000,2.500000
842428500,0.500000,1.500000,2.500000
845282100,0.500000,1.500000,2.500000
846463699,0.500000,1.500000,2.500000
848361900,0.500000,1.500000,2.500000
849463800,0.500000,1.500000,2.500000
857736199,0.500000,1.500000,2.500000
858867599,0.500000,1.500000,2.500000
861432700,0.500000,1.500000,2.500000
862669499,0.500000,1.500000,2.500000
869145000,0.500000,1.500000,2.500000
870304900,0.500000,1.500000,2.500000
872074700,0.500000,1.500000,2.500000
873676300,0.500000,1.500000,2.500000
879021200,0.500000,1.500000,2.500000
880501200,0.500000,1.500000,2.500000
882114400,0.500000,1.500000,2.500000
884770000,0.500000,1.500000,2.500000
898829800,0.500000,1.500000,2.500000
901554800,0.500000,1.500000,2.500000
902913300,0.500000,1.500000,2.500000
904674700,0.500000,1.500000,2.500000
906962400,0.500000,1.500000,2.500000
910981300,0.500000,1.500000,2.500000
916360600,0.500000,1.500000,2.500000
924559400,0.500000,1.500000,2.500000
926209500,0.500000,1.500000,2.500000
927863100,0.500000,1.500000,2.500000
929380500,0.500000,1.500000,2.500000
931278000,0.500000,1.500000,2.500000
936164800,0.500000,1.500000,2.500000
937418100,0.500000,1.500000,2.500000
946091900,0.500000,1.500000,2.500000
947787600,0.500000,1.500000,2.500000
949013400,0.500000,1.500000,2.500000
953184199,0.500000,1.500000,2.500000
954576100,0.500000,1.500000,2.500000
956390100,0.500000,1.500000,2.500000
958015200,0.500000,1.500000,2.500000
962594000,0.500000,1.500000,2.500000
964216400,0.500000,1.500000,2.500000
965821400,0.500000,1.500000,2.500000
967406399,0.500000,1.500000,2.500000
972110300,0.500000,1.500000,2.500000
978995400,0.500000,1.500000,2.500000
980282299,0.500000,1.500000,2.500000
981788299,0.500000,1.500000,2.500000
991351600,0.500000,1.500000,2.500000
992450400,0.500000,1.500000,2.500000
999839399,0.500000,1.500000,2.500000
1000953399,0.500000,1.500000,2.500000
1002558600,0.500000,1.500000,2.500000
1004775500,0.500000,1.500000,2.500000
1005952899,0.500000,1.500000,2.500000
1010971299,0.500000,1.500000,2.500000
1012148300,0.500000,1.500000,2.500000
1013773999,0.500000,1.500000,2.500000
1015464900,0.500000,1.500000,2.500000
1017717000,0.500000,1.500000,2.500000
1019636400,0.500000,1.500000,2.500000
1020887400,0.500000,1.500000,2.500000
1025432499,0.500000,1.500000,2.500000
1033582600,0.500000,1.500000,2.500000
1036059500,0.500000,1.500000,2.500000
1037481899,0.500000,1.500000,2.500000
1044893700,0.500000,1.500000,2.500000
1048812400,0.500000,1.500000,2.500000
1050171900,0.500000,1.500000,2.500000
1054993300,0.500000,1.500000,2.500000
1056114700,0.500000,1.500000,2.500000
1058299700,0.500000,1.500000,2.500000
1059626200,0.500000,1.500000,2.500000
1066002400,0.500000,1.500000,2.500000
1067613800,0.500000,1.500000,2.500000
1071294500,0.500000,1.500000,2.500000
1075713999,0.500000,1.500000,2.500000
1082731000,0.500000,1.500000,2.500000
1085114900,0.500000,1.500000,2.500000
1086674600,0.500000,1.500000,2.500000
1088277300,0.500000,1.500000,2.500000
1095486900,0.500000,1.500000,2.500000
1098187900,0.500000,1.500000,2.500000
1099655199,0.500000,1.500000,2.500000
1104058900,0.500000,1.500000,2.500000
1105213499,0.500000,1.500000,2.500000
1107348300,0.500000,1.500000,2.500000
1108618400,0.500000,1.500000,2.500000
1113270699,0.500000,1.500000,2.500000
1114885399,0.500000,1.500000,2.500000
1117636300,0.500000,1.500000,2.500000
1122016699,0.500000,1.500000,2.500000
1129396399,0.500000,1.500000,2.500000
1131053000,0.500000,1.500000,2.500000
1132683600,0.500000,1.500000,2.500000
1140616000,0.500000,1.500000,2.500000
1141853799,0.500000,1.500000,2.500000
1144094200,0.500000,1.500000,2.500000
1149331799,0.500000,1.500000,2.500000
1150557100,0.500000,1.500000,2.500000
1152199500,0.500000,1.500000,2.500000
1153820999,0.500000,1.500000,2.500000
1157854000,0.500000,1.500000,2.500000
1159125900,0.500000,1.500000,2.500000
1160739800,0.500000,1.500000,2.500000
1162451600,0.500000,1.500000,2.500000
1165026900,0.500000,1.500000,2.500000
1169172800,0.500000,1.500000,2.500000
1176945500,0.500000,1.500000,2.500000
1178593299,0.500000,1.500000,2.500000
1180272300,0.500000,1.500000,2.500000
1187212199,0.500000,1.500000,2.500000
1189642900,0.500000,1.500000,2.500000
1190895300,0.500000,1.500000,2.500000
1192516600,0.500000,1.500000,2.500000
1198439500,0.500000,1.500000,2.500000
1199731500,0.500000,1.500000,2.500000
1202943100,0.500000,1.500000,2.500000
1207817800,0.500000,1.500000,2.500000
1208927400,0.500000,1.500000,2.500000
1210577800,0.500000,1.500000,2.500000
1212535500,0.500000,1.500000,2.500000
1215408600,0.500000,1.500000,2.500000
1221195999,0.500000,1.500000,2.500000
1229101800,0.500000,1.500000,2.500000
1230479999,0.500000,1.500000,2.500000
1232117600,0.500000,1.500000,2.500000
