t_s,amp
0.000000,0.017365
0.010000,0.015411
0.020000,0.011871
0.023220,0.034088
0.033220,0.013306
0.043220,0.021454
0.046440,0.056122
0.056440,0.015137
0.066440,0.014465
0.069660,0.017639
0.079660,0.018921
0.089660,0.009552
0.092880,0.013489
0.102880,0.014069
0.112880,0.013092
0.116100,0.017395
0.126100,0.008484
0.136100,0.015259
0.139320,0.012512
0.149320,0.008240
0.159320,0.015778
0.162540,0.020691
0.172540,0.013916
0.182540,0.007904
0.185760,0.009064
0.195760,0.015747
0.205760,0.009949
0.208980,0.010254
0.218980,0.009033
0.228980,0.009064
0.232200,0.014801
0.242200,0.017090
0.252200,0.012299
0.255420,0.012329
0.265420,0.010986
0.275420,0.008636
0.278639,0.012909
0.288639,0.013397
0.298639,0.013489
0.301859,0.013092
0.311859,0.016541
0.321859,0.009674
0.325079,0.015015
0.335079,0.017181
0.345079,0.006042
0.348299,0.009125
0.358299,0.013702
0.368299,0.016174
0.371519,0.019806
0.381519,0.007996
0.391519,0.005554
0.394739,0.010620
0.404739,0.011169
0.414739,0.011902
0.417959,0.012848
0.427959,0.016632
0.437959,0.012177
0.441179,0.011963
0.451179,0.009186
0.461179,0.008514
0.464399,0.010376
0.474399,0.012207
0.484399,0.015045
0.487619,0.013031
0.497619,0.010529
0.507619,0.011963
0.510839,0.014954
0.520839,0.015930
0.530839,0.008575
0.534059,0.019379
0.544059,0.013367
0.554059,0.009888
0.557279,0.012115
0.567279,0.014801
0.577279,0.010010
0.580499,0.010284
0.590499,0.017456
0.600499,0.012482
0.603719,0.013763
0.613719,0.011200
0.623719,0.011322
0.626939,0.016388
0.636939,0.013184
0.646939,0.018524
0.650159,0.021027
0.660159,0.012970
0.670159,0.008270
0.673379,0.016144
0.683379,0.011719
0.693379,0.009949
0.696599,0.014862
0.706599,0.020935
0.716599,0.012482
0.719819,0.014099
0.729819,0.012115
0.739819,0.012390
0.743039,0.015289
0.753039,0.013855
0.763039,0.013123
0.766259,0.015137
0.776259,0.017426
0.786259,0.010529
0.789478,0.017670
0.799478,0.014557
0.809478,0.012085
0.812698,0.016968
0.822698,0.020966
0.832698,0.010834
0.835918,0.018524
0.845918,0.012451
0.855918,0.009460
0.859138,0.014618
0.869138,0.009735
0.879138,0.011261
0.882358,0.011169
0.892358,0.015686
0.902358,0.012878
0.905578,0.015503
0.915578,0.016998
0.925578,0.009583
0.928798,0.013031
0.938798,0.012848
0.948798,0.008698
0.952018,0.012878
0.962018,0.013031
0.972018,0.014801
0.975238,0.015350
0.985238,0.016174
0.995238,0.014832
0.998458,0.011108
1.008458,0.010651
1.018458,0.012695
1.021678,0.012329
1.031678,0.010956
1.041678,0.011871
1.044898,0.016418
1.054898,0.011261
1.064898,0.006531
1.068118,0.012360
1.078118,0.009613
1.088118,0.004608
1.091338,0.015228
1.101338,0.016113
1.111338,0.013977
1.114558,0.014069
1.124558,0.011902
1.134558,0.010651
1.137778,0.012177
1.147778,0.010040
1.157778,0.010437
1.160998,0.015900
1.170998,0.015533
1.180998,0.015381
1.184218,0.011047
1.194218,0.023682
1.204218,0.011475
1.207438,0.009064
1.217438,0.012756
1.227438,0.014893
1.230658,0.021545
1.240658,0.011688
1.250658,0.009216
1.253878,0.015686
1.263878,0.016907
1.273878,0.012451
1.277098,0.018250
1.287098,0.044250
1.297098,0.013428
1.300317,0.016876
1.310317,0.012177
1.320317,0.014862
1.323537,0.015900
1.333537,0.014801
1.343537,0.015198
1.346757,0.010590
1.356757,0.010132
1.366757,0.015045
1.369977,0.017487
1.379977,0.028503
1.389977,0.010834
1.393197,0.014526
1.403197,0.013306
1.413197,0.011902
1.416417,0.020294
1.426417,0.018951
1.436417,0.014709
1.439637,0.016510
1.449637,0.014832
1.459637,0.010376
1.462857,0.014801
1.472857,0.017822
1.482857,0.011871
1.486077,0.014679
1.496077,0.015533
1.506077,0.010468
1.509297,0.009918
1.519297,0.009125
1.529297,0.014587
1.532517,0.013153
