t_ns,ch1_V,ch2_V,ch3_V
0,1.299634,1.312088,1.350916
0,1.322344,1.322344,1.375824
0,1.284249,1.311355,1.333333
965500,1.328205,1.310623,1.342125
965500,1.306960,1.316484,1.298168
965500,1.315018,1.315018,1.284249
1951500,1.329670,1.339194,1.321612
1951500,1.314286,1.315018,1.311355
2910000,1.335531,1.336264,1.339194
2964100,1.304762,1.306227,1.308425
2964100,1.304762,1.312088,1.292308
3958600,1.309158,1.315018,1.304762
3958600,1.314286,1.312088,1.281319
3958600,1.312821,1.315018,1.286447
5060499,1.324542,1.308425,1.309890
5060499,1.333333,1.313553,1.321612
5060499,1.329670,1.309890,1.332601
5969100,1.309158,1.309890,1.309890
5969100,1.303297,1.312821,1.302564
5969100,1.284982,1.318681,1.279853
6953900,1.299634,1.312821,1.276923
6953900,1.303297,1.312821,1.282051
8000600,1.298168,1.308425,1.295238
8434900,1.312088,1.312821,1.304762
40422500,1.320879,1.309890,1.303297
40422500,1.331136,1.317216,1.339194
42165000,1.300366,1.313553,1.312088
42165000,1.295971,1.315751,1.294505
42165000,1.297436,1.312088,1.293773
42165000,1.304029,1.312821,1.309890
42165000,1.318681,1.336264,1.320879
42165000,1.319414,1.315751,1.304029
45282500,1.331136,1.311355,1.328205
45282500,1.309890,1.309890,1.318681
45282500,1.323077,1.309890,1.315018
45282500,1.326007,1.311355,1.326007
45282500,1.310623,1.286447,1.334066
45282500,1.308425,1.317949,1.304029
45282500,1.314286,1.315018,1.311355
45282500,1.315018,1.313553,1.342125
52745799,1.315751,1.310623,1.331136
52745799,1.314286,1.310623,1.300366
52745799,1.308425,1.312088,1.281319
52745799,1.297436,1.313553,1.278388
52745799,1.297436,1.317216,1.271795
52745799,1.300366,1.315751,1.293040
52745799,1.313553,1.314286,1.312821
52745799,1.311355,1.310623,1.316484
52745799,1.302564,1.314286,1.315018
52745799,1.314286,1.314286,1.335531
52745799,1.314286,1.312088,1.317216
52745799,1.309890,1.314286,1.313553
52745799,1.310623,1.317216,1.319414
52745799,1.312821,1.323077,1.323077
52745799,1.315751,1.311355,1.314286
52745799,1.300366,1.304762,1.306960
52745799,1.309158,1.304762,1.313553
53484400,1.322344,1.315018,1.309890
53484400,1.317216,1.316484,1.306227
53484400,1.292308,1.312088,1.300366
53484400,1.298168,1.315018,1.309158
53484400,1.306227,1.308425,1.325275
54054500,1.306960,1.320147,1.307692
54054500,1.333333,1.334066,1.326007
54054500,1.313553,1.314286,1.297436
55192900,1.317216,1.310623,1.309158
55192900,1.316484,1.301099,1.315751
55192900,1.323077,1.317216,1.316484
57083400,1.301099,1.310623,1.312821
57083400,1.313553,1.318681,1.314286
57083400,1.288645,1.309890,1.300366
57083400,1.326007,1.333333,1.318681
57083400,1.334799,1.336264,1.326740
57083400,1.312088,1.319414,1.320879
97409499,1.316484,1.322344,1.311355
97409499,1.309158,1.326007,1.303297
97409499,1.299634,1.310623,1.285714
97409499,1.310623,1.312088,1.287179
97409499,1.315018,1.307692,1.318681
97409499,1.316484,1.315751,1.351648
97409499,1.310623,1.309158,1.344322
97409499,1.315018,1.304762,1.323077
97409499,1.330403,1.322344,1.316484
97409499,1.315018,1.298901,1.303297
97409499,1.318681,1.317949,1.302564
97409499,1.305495,1.313553,1.300366
97409499,1.311355,1.315751,1.302564
97409499,1.334066,1.333333,1.339194
97409499,1.312088,1.311355,1.303297
97409499,1.299634,1.315751,1.312088
97409499,1.320147,1.316484,1.313553
97409499,1.315751,1.316484,1.305495
97409499,1.312821,1.315018,1.309890
97409499,1.305495,1.323810,1.331136
97409499,1.292308,1.309158,1.323810
97409499,1.302564,1.309890,1.345788
97409499,1.328205,1.338462,1.331868
98041500,1.320879,1.312088,1.276190
98041500,1.323810,1.330403,1.263004
98998500,1.308425,1.313553,1.271062
99195400,1.315018,1.309158,1.288645
99195400,1.341392,1.328205,1.349451
113134200,1.315018,1.311355,1.358974
113134200,1.306960,1.306227,1.331868
113134200,1.324542,1.331868,1.326740
113549000,1.315751,1.328205,1.337729
113549000,1.295971,1.315751,1.315751
113549000,1.303297,1.313553,1.312088
113549000,1.312821,1.306227,1.320879
113549000,1.314286,1.310623,1.306960
113549000,1.305495,1.309158,1.293040
113549000,1.315751,1.308425,1.303297
113549000,1.312088,1.306227,1.318681
113549000,1.304029,1.312821,1.331136
113549000,1.293040,1.315018,1.323810
113549000,1.309890,1.323077,1.336264
113549000,1.300366,1.309158,1.333333
113549000,1.313553,1.306227,1.325275
113549000,1.319414,1.312088,1.320147
113549000,1.320879,1.320879,1.308425
113549000,1.309890,1.314286,1.276923
113549000,1.308425,1.309890,1.270330
113549000,1.312088,1.309158,1.273260
113549000,1.301099,1.314286,1.290110
140986300,1.310623,1.315751,1.299634
140986300,1.306227,1.315018,1.300366
140986300,1.322344,1.331868,1.307692
140986300,1.319414,1.320879,1.298901
141158200,1.334799,1.334799,1.328205
141158200,1.315018,1.309890,1.304762
141158200,1.307692,1.329670,1.310623
160041800,1.306227,1.308425,1.312821
160041800,1.306960,1.318681,1.331136
160041800,1.306227,1.308425,1.331136
160041800,1.307692,1.312821,1.331868
160041800,1.322344,1.328205,1.348718
160041800,1.315018,1.309890,1.304762
160041800,1.312088,1.312821,1.298901
160041800,1.309890,1.307692,1.307692
160041800,1.331136,1.331868,1.322344
160041800,1.311355,1.318681,1.289377
160041800,1.326740,1.323810,1.304762
160041800,1.314286,1.311355,1.298901
160041800,1.312088,1.328205,1.299634
160041800,1.315751,1.313553,1.307692
160041800,1.307692,1.310623,1.300366
160041800,1.305495,1.320879,1.312088
160041800,1.306227,1.314286,1.311355
160041800,1.320147,1.312088,1.310623
160041800,1.327473,1.327473,1.323077
160041800,1.322344,1.309158,1.311355
160041800,1.318681,1.309158,1.309158
160041800,1.313553,1.312088,1.288645
160041800,1.308425,1.304029,1.287179
160041800,1.306227,1.309890,1.320147
160041800,1.304762,1.318681,1.336264
160041800,1.302564,1.315751,1.354579
160041800,1.304762,1.320147,1.361905
160041800,1.297436,1.309158,1.308425
160041800,1.297436,1.306227,1.290842
160041800,1.297436,1.312821,1.304029
160041800,1.307692,1.313553,1.312821
160041800,1.311355,1.312088,1.310623
160041800,1.313553,1.310623,1.312088
160041800,1.317949,1.316484,1.314286
160041800,1.326007,1.312088,1.317216
160041800,1.319414,1.313553,1.304029
160041800,1.320879,1.316484,1.317216
160041800,1.314286,1.312821,1.308425
160041800,1.298901,1.319414,1.306960
160041800,1.299634,1.309890,1.302564
160041800,1.298901,1.321612,1.282051
160041800,1.299634,1.309890,1.284982
160041800,1.311355,1.318681,1.298901
195033500,1.309158,1.308425,1.304762
195033500,1.312088,1.312088,1.309890
195033500,1.320879,1.312821,1.322344
195033500,1.313553,1.306227,1.334799
195033500,1.307692,1.309158,1.310623
195033500,1.312821,1.309158,1.299634
195033500,1.309890,1.307692,1.314286
195033500,1.312821,1.311355,1.326007
195033500,1.325275,1.324542,1.331868
195033500,1.328205,1.316484,1.317949
195033500,1.331868,1.320879,1.288645
195033500,1.302564,1.316484,1.276190
195033500,1.309158,1.312088,1.280586
195033500,1.300366,1.310623,1.315751
195033500,1.313553,1.317216,1.325275
195033500,1.320879,1.312821,1.323810
195461000,1.317216,1.302564,1.303297
195461000,1.313553,1.315018,1.301099
195461000,1.304762,1.320879,1.295971
196554399,1.323810,1.343590,1.317949
196554399,1.301832,1.312821,1.317949
196554399,1.311355,1.317216,1.323810
197643699,1.305495,1.312088,1.280586
197643699,1.306960,1.306960,1.260806
197643699,1.319414,1.315018,1.276190
200016200,1.317216,1.313553,1.304762
200016200,1.320879,1.322344,1.326007
200016200,1.326007,1.318681,1.381685
200016200,1.316484,1.305495,1.381685
200016200,1.317216,1.303297,1.315018
204747199,1.315751,1.316484,1.298168
204747199,1.331136,1.332601,1.320879
204747199,1.296703,1.308425,1.331136
219251000,1.304762,1.319414,1.323810
219251000,1.297436,1.310623,1.313553
219251000,1.317949,1.300366,1.298168
219251000,1.302564,1.305495,1.340659
219251000,1.323810,1.320879,1.368498
219251000,1.310623,1.325275,1.358242
219251000,1.331868,1.334799,1.363370
219251000,1.309890,1.320147,1.296703
219251000,1.334799,1.339194,1.249084
219251000,1.315751,1.315018,1.227839
219251000,1.320147,1.316484,1.264469
219949100,1.304029,1.306227,1.282051
219949100,1.308425,1.306960,1.315751
219949100,1.325275,1.326007,1.336996
219949100,1.311355,1.312821,1.317949
219949100,1.324542,1.333333,1.330403
219949100,1.312088,1.316484,1.322344
250778800,1.315018,1.314286,1.308425
250778800,1.306960,1.306960,1.312088
250778800,1.312821,1.312821,1.306960
250778800,1.302564,1.313553,1.302564
250778800,1.318681,1.312821,1.276190
250778800,1.310623,1.310623,1.298901
250778800,1.320147,1.319414,1.311355
250778800,1.306227,1.309890,1.304762
250778800,1.309158,1.315018,1.303297
250778800,1.326740,1.312088,1.306960
250778800,1.326740,1.322344,1.312821
250778800,1.323810,1.315751,1.257875
250778800,1.315018,1.318681,1.268864
250778800,1.301099,1.315018,1.303297
250778800,1.295238,1.314286,1.325275
250778800,1.295238,1.306227,1.370696
250778800,1.297436,1.311355,1.357509
250778800,1.287179,1.309158,1.322344
250778800,1.343590,1.331868,1.339194
250778800,1.334066,1.313553,1.317949
250778800,1.312821,1.309890,1.289377
250778800,1.303297,1.312821,1.286447
250778800,1.325275,1.328938,1.338462
250778800,1.306227,1.303297,1.309158
250778800,1.298901,1.308425,1.312088
250778800,1.320879,1.325275,1.304762
250778800,1.315751,1.312088,1.283516
250778800,1.314286,1.308425,1.282051
250778800,1.312088,1.308425,1.290110
250778800,1.316484,1.317216,1.314286
250778800,1.309890,1.315018,1.338462
250778800,1.310623,1.312088,1.342857
251507799,1.307692,1.314286,1.334066
251507799,1.306227,1.318681,1.298901
251507799,1.317949,1.327473,1.293773
251507799,1.304029,1.311355,1.292308
251507799,1.320147,1.312821,1.307692
252021699,1.326740,1.315751,1.341392
252021699,1.326740,1.314286,1.339927
252021699,1.322344,1.314286,1.347253
253010600,1.323810,1.312821,1.320147
253010600,1.325275,1.317949,1.313553
253010600,1.309158,1.309890,1.311355
254006000,1.301832,1.318681,1.309158
254006000,1.312821,1.312821,1.303297
254006000,1.312088,1.309890,1.287912
255099900,1.307692,1.312821,1.301832
255099900,1.306227,1.312088,1.294505
256772400,1.313553,1.314286,1.290110
