frame_idx,t_ns
0,0
1,35434500
2,72947500
3,103513300
4,137365900
5,177229000
6,209818700
7,241496300
8,273197500
9,308286400
10,338487000
11,368579700
12,401311300
13,437664600
14,464446700
15,499411900
16,530023300
17,577114100
18,611900500
19,650991600
20,672277600
21,709037400
22,746763000
23,770958600
24,803358100
25,839058600
26,865643300
27,899755400
28,939192700
29,975730100
30,1015890400
31,1049293500
32,1077529300
33,1104331500
34,1139390500
35,1169360700
36,1204258900
37,1233937200
38,1265849500
39,1296719500
40,1337206500
41,1377713500
42,1409328700
43,1443351500
44,1480265300
45,1506885200
46,1536989700
47,1573599600
48,1606710600
49,1632731400
50,1664323400
51,1701458900
52,1727813100
53,1775567800
54,1816759600
55,1841476200
56,1872815400
57,1904743200
58,1936741700
59,1970201000
60,2004010200
61,2036558200
62,2064910500
63,2096849700
64,2131652700
65,2175350900
66,2208395200
67,2240230000
68,2271326500
69,2310179200
70,2336148000
71,2367691700
72,2401713500
73,2431108700
74,2463354000
75,2501648800
76,2527517500
77,2578426500
78,2607495000
79,2642044100
80,2672997400
81,2703165900
82,2738321900
83,2771395800
84,2800174300
85,2837260500
86,2864524400
87,2895287200
88,2927984600
89,2976215600
90,3016437200
91,3039347700
92,3071708800
93,3112928600
94,3136809000
95,3167120000
96,3205560000
97,3237688500
98,3263762500
99,3302819800
100,3333753900
101,3377634200
102,3407256100
103,3444509900
104,3474779900
105,3505458000
106,3543520200
107,3567109600
108,3600406400
109,3633770600
110,3675742100
111,3695703400
112,3728240600
113,3775651500
114,3813494000
115,3848420000
116,3871869000
117,3911743000
118,3944337500
119,3966993300
120,4004721000
121,4037619100
122,4063372100
123,4102449300
124,4129702200
125,4178046000
126,4208618700
127,4242009600
128,4273430400
129,4303508600
130,4339269400
131,4368370300
132,4399386800
133,4432490000
134,4467742100
135,4495298300
136,4538000300
137,4584176400
138,4610384100
139,4639673200
140,4677263800
141,4706577300
142,4735469900
143,4771041200
144,4800081700
145,4837363000
146,4864798500
147,4895985400
148,4937301900
149,4975824800
150,5006957100
151,5051308900
152,5073616600
153,5102814200
154,5144791100
155,5167029500
156,5201552600
157,5243162600
158,5263241700
159,5295107600
160,5327261400
161,5391366500
162,5410644100
163,5442943400
164,5472619900
165,5505420700
166,5535094600
167,5578696500
168,5607672100
169,5633490500
170,5663180300
171,5694833200
172,5730293100
173,5779876200
174,5807606600
175,5843653500
176,5871442300
177,5903688900
178,5948398500
179,5974198500
180,6000368600
181,6035058500
182,6062912500
183,6095738100
184,6133114500
185,6175244300
186,6210078100
187,6241345400
188,6271084700
189,6304796300
190,6337351300
191,6381064900
192,6405044000
193,6434327500
194,6474234500
195,6498077100
