t_ns,ch1_V,ch2_V,ch3_V
0,0.427106,0.429304,0.428571
0,0.436630,0.437363,0.438095
0,0.431502,0.436630,0.435165
1047999,0.429304,0.422711,0.431502
1047999,0.428571,0.433700,0.428571
1047999,0.427106,0.429304,0.427106
1047999,0.425641,0.429304,0.430037
2037400,0.428571,0.430037,0.430037
2037400,0.428571,0.427839,0.428571
2037400,0.427106,0.430037,0.427839
3014899,0.427839,0.414652,0.431502
3014899,0.432234,0.432234,0.432967
3014899,0.431502,0.433700,0.435165
3014899,0.429304,0.430769,0.431502
4045699,0.429304,0.434432,0.430769
4045699,0.429304,0.431502,0.430037
4045699,0.432234,0.432967,0.430037
5125700,0.430037,0.431502,0.432967
5125700,0.427106,0.429304,0.429304
5125700,0.429304,0.430769,0.432967
6002599,0.428571,0.428571,0.430037
6002599,0.425641,0.428571,0.424176
6002599,0.427106,0.427839,0.426374
6002599,0.424908,0.427839,0.427839
7052699,0.424176,0.427106,0.424908
7052699,0.424176,0.429304,0.430769
7052699,0.428571,0.430037,0.428571
8006199,0.428571,0.427839,0.427106
8006199,0.420513,0.432234,0.430769
8006199,0.427106,0.430769,0.412454
9023699,0.428571,0.433700,0.432967
9023699,0.431502,0.430037,0.432967
9023699,0.430769,0.431502,0.432234
9023699,0.430037,0.432967,0.432234
44036599,0.428571,0.430769,0.430037
44938999,0.429304,0.432234,0.429304
44938999,0.420513,0.425641,0.425641
45991899,0.421245,0.415385,0.428571
45991899,0.422711,0.424176,0.415385
45991899,0.424176,0.426374,0.424908
45991899,0.423443,0.426374,0.426374
47186399,0.424908,0.424908,0.426374
47186399,0.426374,0.425641,0.427839
47186399,0.428571,0.430037,0.428571
47186399,0.426374,0.429304,0.429304
48028399,0.429304,0.432967,0.430037
48028399,0.424908,0.430037,0.428571
48028399,0.429304,0.429304,0.430769
48964999,0.427106,0.429304,0.427839
48964999,0.429304,0.428571,0.432234
48964999,0.426374,0.430769,0.428571
50021799,0.434432,0.435897,0.425641
50021799,0.432234,0.435165,0.435165
50021799,0.432967,0.434432,0.434432
50021799,0.429304,0.432234,0.430769
51009000,0.427839,0.426374,0.428571
51009000,0.423443,0.427839,0.426374
51009000,0.426374,0.429304,0.427839
51967599,0.424908,0.428571,0.429304
51967599,0.427106,0.430037,0.427839
51967599,0.427839,0.430769,0.427839
52964300,0.426374,0.428571,0.429304
53053099,0.430769,0.430037,0.431502
