t_s,amp
0.000000,0.002125
0.010000,0.002221
0.020000,0.001920
0.023220,0.002204
0.033220,0.002364
0.043220,0.002255
0.046440,0.002358
0.056440,0.002090
0.066440,0.002917
0.069660,0.002648
0.079660,0.002249
0.089660,0.002297
0.092880,0.001946
0.102880,0.002542
0.112880,0.003378
0.116100,0.002335
0.126100,0.002074
0.136100,0.002078
0.139320,0.002928
0.149320,0.002766
0.159320,0.001943
0.162540,0.002547
0.172540,0.002812
0.182540,0.002126
0.185760,0.002742
0.195760,0.002149
0.205760,0.002376
0.208980,0.003217
0.218980,0.002640
0.228980,0.001767
0.232200,0.001829
0.242200,0.002081
0.252200,0.002047
0.255420,0.002581
0.265420,0.002241
0.275420,0.001602
0.278639,0.002371
0.288639,0.003016
0.298639,0.001885
0.301859,0.002606
0.311859,0.002244
0.321859,0.001701
0.325079,0.001880
0.335079,0.002213
0.345079,0.001836
0.348299,0.002976
0.358299,0.002210
0.368299,0.002182
0.371519,0.002733
0.381519,0.003026
0.391519,0.001942
0.394739,0.002239
0.404739,0.002326
0.414739,0.001661
0.417959,0.002453
0.427959,0.002507
0.437959,0.001576
0.441179,0.002184
0.451179,0.002449
0.461179,0.002037
0.464399,0.002521
0.474399,0.002228
0.484399,0.001893
0.487619,0.002647
0.497619,0.001952
0.507619,0.001762
0.510839,0.002588
0.520839,0.002428
0.530839,0.001777
0.534059,0.002045
0.544059,0.002294
0.554059,0.002035
0.557279,0.003073
0.567279,0.001933
0.577279,0.001969
0.580499,0.001935
0.590499,0.002691
0.600499,0.001981
0.603719,0.002908
0.613719,0.002565
0.623719,0.002403
0.626939,0.002684
0.636939,0.002235
0.646939,0.002412
0.650159,0.002357
0.660159,0.002365
0.670159,0.002226
0.673379,0.001974
0.683379,0.002540
0.693379,0.002005
0.696599,0.003558
0.706599,0.003689
0.716599,0.002164
0.719819,0.003205
0.729819,0.003266
0.739819,0.001837
0.743039,0.002541
0.753039,0.002367
0.763039,0.002232
0.766259,0.002833
0.776259,0.002532
0.786259,0.002641
0.789478,0.002635
0.799478,0.002089
0.809478,0.001576
0.812698,0.002028
0.822698,0.002064
0.832698,0.001702
0.835918,0.002205
0.845918,0.002892
0.855918,0.002351
0.859138,0.003383
0.869138,0.002905
0.879138,0.002721
0.882358,0.002506
0.892358,0.002153
0.902358,0.002547
0.905578,0.002114
0.915578,0.002254
0.925578,0.002218
0.928798,0.003277
0.938798,0.002278
0.948798,0.002027
0.952018,0.002579
0.962018,0.002395
0.972018,0.002380
0.975238,0.002618
0.985238,0.002459
0.995238,0.002518
0.998458,0.002851
1.008458,0.002799
1.018458,0.002127
1.021678,0.002258
1.031678,0.002190
1.041678,0.001821
1.044898,0.002432
1.054898,0.002446
1.064898,0.002172
1.068118,0.002692
1.078118,0.002163
1.088118,0.002248
1.091338,0.002403
1.101338,0.003031
1.111338,0.003133
1.114558,0.002819
1.124558,0.003867
1.134558,0.002124
1.137778,0.002516
1.147778,0.002227
1.157778,0.002432
1.160998,0.002133
1.170998,0.001951
1.180998,0.002005
1.184218,0.002834
1.194218,0.002873
1.204218,0.002000
1.207438,0.002238
1.217438,0.002341
1.227438,0.002632
1.230658,0.002196
1.240658,0.002676
1.250658,0.002726
1.253878,0.003546
1.263878,0.002320
1.273878,0.002393
1.277098,0.002245
1.287098,0.002134
1.297098,0.002827
1.300317,0.002715
1.310317,0.002536
1.320317,0.003275
1.323537,0.002678
1.333537,0.002301
1.343537,0.002217
1.346757,0.002486
1.356757,0.003568
1.366757,0.003021
1.369977,0.003745
1.379977,0.003670
1.389977,0.003317
1.393197,0.004176
1.403197,0.004443
1.413197,0.003000
1.416417,0.003511
1.426417,0.003674
1.436417,0.003267
1.439637,0.005101
1.449637,0.003858
1.459637,0.003156
1.462857,0.007493
1.472857,0.003823
1.482857,0.002101
1.486077,0.003816
1.496077,0.002705
1.506077,0.002443
1.509297,0.007088
1.519297,0.002611
1.529297,0.003185
1.532517,0.003016
1.542517,0.003164
1.552517,0.002507
1.555737,0.004061
1.565737,0.003739
1.575737,0.004071
1.578957,0.005238
1.588957,0.003129
1.598957,0.002610
1.602177,0.004449
1.612177,0.003634
1.622177,0.003422
1.625397,0.004084
1.635397,0.003622
1.645397,0.003246
1.648617,0.003826
1.658617,0.003013
1.668617,0.003707
1.671837,0.003273
1.681837,0.003392
1.691837,0.003250
1.695057,0.004465
1.705057,0.005368
1.715057,0.004016
1.718277,0.004549
1.728277,0.005672
1.738277,0.005965
1.741497,0.004590
1.751497,0.003437
1.761497,0.002754
1.764717,0.003549
1.774717,0.003863
1.784717,0.002573
1.787937,0.003363
1.797937,0.003835
1.807937,0.002018
1.811156,0.002676
1.821156,0.002854
1.831156,0.002181
1.834376,0.002702
1.844376,0.002603
1.854376,0.002180
1.857596,0.003172
1.867596,0.002566
1.877596,0.001885
1.880816,0.002486
1.890816,0.002648
1.900816,0.002273
1.904036,0.002846
1.914036,0.002470
1.924036,0.002117
1.927256,0.002415
1.937256,0.002281
1.947256,0.002493
1.950476,0.002401
1.960476,0.002027
1.970476,0.001986
1.973696,0.002520
1.983696,0.002529
1.993696,0.001947
1.996916,0.002712
2.006916,0.002838
2.016916,0.002035
2.020136,0.002317
2.030136,0.003959
2.040136,0.002629
2.043356,0.004139
2.053356,0.003929
2.063356,0.003765
2.066576,0.005070
2.076576,0.005021
2.086576,0.003170
2.089796,0.003900
2.099796,0.005298
2.109796,0.003603
2.113016,0.005775
2.123016,0.005376
2.133016,0.004252
2.136236,0.004739
2.146236,0.003669
2.156236,0.004864
2.159456,0.003531
2.169456,0.004688
2.179456,0.003591
2.182676,0.004926
2.192676,0.003793
2.202676,0.003568
2.205896,0.005927
2.215896,0.005389
2.225896,0.003459
2.229116,0.005120
2.239116,0.005096
2.249116,0.004831
2.252336,0.004642
2.262336,0.004672
2.272336,0.003369
2.275556,0.005620
2.285556,0.006174
2.295556,0.003377
2.298776,0.003021
2.308776,0.003969
2.318776,0.002966
2.321995,0.002842
2.331995,0.002450
2.341995,0.002962
2.345215,0.002306
2.355215,0.002629
2.365215,0.001881
2.368435,0.002412
2.378435,0.002268
2.388435,0.001832
2.391655,0.002703
2.401655,0.001932
2.411655,0.001996
2.414875,0.002065
2.424875,0.002340
2.434875,0.001543
2.438095,0.002391
2.448095,0.002884
2.458095,0.002790
2.461315,0.003708
2.471315,0.002357
2.481315,0.002146
2.484535,0.002797
2.494535,0.003380
2.504535,0.002248
2.507755,0.003429
2.517755,0.002537
2.527755,0.001474
2.530975,0.002131
2.540975,0.002062
2.550975,0.001929
2.554195,0.002605
2.564195,0.002827
2.574195,0.002156
2.577415,0.002238
2.587415,0.002955
2.597415,0.001844
2.600635,0.002706
2.610635,0.002921
2.620635,0.002145
2.623855,0.002218
2.633855,0.002444
2.643855,0.002045
2.647075,0.004701
2.657075,0.004348
2.667075,0.003272
2.670295,0.003742
2.680295,0.003978
2.690295,0.002846
2.693515,0.002942
2.703515,0.002923
2.713515,0.002774
2.716735,0.001913
2.726735,0.002558
2.736735,0.001946
2.739955,0.002392
2.749955,0.002434
2.759955,0.002036
2.763175,0.003532
2.773175,0.002359
2.783175,0.001753
2.786395,0.001979
2.796395,0.002555
2.806395,0.001268
2.809615,0.002049
2.819615,0.002859
2.829615,0.002569
2.832834,0.002218
2.842834,0.003562
2.852834,0.001998
2.856054,0.002176
2.866054,0.002907
2.876054,0.001770
2.879274,0.002104
2.889274,0.002407
2.899274,0.002100
2.902494,0.002075
2.912494,0.002286
2.922494,0.001640
2.925714,0.001890
2.935714,0.002214
2.945714,0.001462
2.948934,0.002593
2.958934,0.001939
2.968934,0.002402
2.972154,0.002376
2.982154,0.002131
2.992154,0.002405
2.995374,0.002220
3.005374,0.003028
3.015374,0.002386
3.018594,0.002641
3.028594,0.002581
3.038594,0.001234
3.041814,0.002599
3.051814,0.002361
3.061814,0.001860
3.065034,0.002257
3.075034,0.002452
3.085034,0.002199
3.088254,0.002283
3.098254,0.003416
3.108254,0.002046
3.111474,0.002330
3.121474,0.003346
3.131474,0.002207
3.134694,0.002304
3.144694,0.002571
3.154694,0.002557
3.157914,0.002900
3.167914,0.002592
3.177914,0.002287
3.181134,0.003258
3.191134,0.002355
3.201134,0.002705
3.204354,0.002840
3.214354,0.002063
3.224354,0.002518
3.227574,0.003054
3.237574,0.002594
3.247574,0.002299
3.250794,0.002054
3.260794,0.002538
3.270794,0.002007
3.274014,0.002383
3.284014,0.002213
3.294014,0.003088
3.297234,0.007409
3.307234,0.006084
3.317234,0.002594
3.320454,0.002952
3.330454,0.016215
3.340454,0.010767
3.343673,0.012290
3.353673,0.012093
3.363673,0.010219
3.366893,0.013906
3.376893,0.013629
