t_ns,ch1_V,ch2_V,ch3_V
0,1.273993,1.333333,1.312088
0,1.287179,1.329670,1.311355
920624,1.329670,1.343590,1.327473
988707,1.334066,1.331868,1.326740
988707,1.313553,1.317216,1.322344
1895082,1.318681,1.296703,1.320879
1986082,1.342857,1.302564,1.323077
1986082,1.333333,1.306227,1.320147
2991499,1.336996,1.322344,1.326007
2991499,1.332601,1.337729,1.321612
3922957,1.329670,1.350183,1.326740
3982166,1.317216,1.351648,1.326007
3982166,1.282051,1.341392,1.315751
4884041,1.306960,1.323077,1.314286
4981541,1.317949,1.314286,1.319414
4981541,1.316484,1.315751,1.326007
5904208,1.315751,1.315751,1.321612
6093916,1.304029,1.306960,1.315018
6093916,1.316484,1.320147,1.323810
6891500,1.312088,1.316484,1.317949
6986249,1.299634,1.316484,1.318681
6986249,1.306960,1.320879,1.322344
7987707,1.309158,1.320147,1.323810
7987707,1.336996,1.329670,1.328205
8884832,1.350183,1.315018,1.313553
8978791,1.335531,1.323077,1.318681
8978791,1.292308,1.311355,1.310623
9881291,1.303297,1.321612,1.323810
9973041,1.313553,1.320879,1.318681
9973041,1.306960,1.308425,1.311355
10884166,1.315018,1.314286,1.318681
10979249,1.317949,1.324542,1.321612
10979249,1.308425,1.314286,1.317216
11889291,1.312088,1.324542,1.312821
11989624,1.309158,1.326740,1.326007
12896041,1.293773,1.314286,1.316484
12980917,1.309890,1.322344,1.327473
12980917,1.295238,1.310623,1.325275
13985792,1.289377,1.312821,1.326007
13985792,1.318681,1.321612,1.322344
14014667,1.345055,1.317949,1.314286
14886375,1.332601,1.315018,1.314286
14986332,1.358974,1.331868,1.323077
14986332,1.338462,1.334066,1.308425
15923541,1.310623,1.336264,1.323810
16001291,1.310623,1.334066,1.328205
16001291,1.303297,1.320147,1.329670
17002499,1.300366,1.286447,1.322344
17002499,1.314286,1.295971,1.326007
17909832,1.313553,1.323077,1.323810
49971207,1.299634,1.324542,1.320147
49971207,1.280586,1.323810,1.326007
50009458,1.287912,1.329670,1.329670
51937250,1.294505,1.330403,1.323810
51937250,1.303297,1.328938,1.325275
52064749,1.353114,1.326740,1.321612
52064749,1.369231,1.316484,1.315018
52064749,1.339194,1.328938,1.320879
52950917,1.330403,1.330403,1.322344
52950917,1.317949,1.324542,1.315751
53011041,1.313553,1.331868,1.312821
53923041,1.306960,1.337729,1.326740
53923041,1.308425,1.312088,1.327473
54005832,1.307692,1.246154,1.323077
54925667,1.291575,1.212454,1.318681
54925667,1.300366,1.241026,1.323810
54997749,1.309158,1.279121,1.320147
56383749,1.310623,1.361905,1.306227
56383749,1.300366,1.433700,1.309158
56928082,1.315751,1.465934,1.322344
56928082,1.323077,1.399267,1.326007
57005417,1.297436,1.319414,1.320879
57966124,1.273993,1.285714,1.311355
57966124,1.295238,1.306960,1.320879
57996833,1.310623,1.303297,1.309158
59352416,1.315751,1.306227,1.317216
