frame_idx,t_ns
0,0
1,33225250
2,69403042
3,99134042
4,163518875
5,197480834
6,230279709
7,263475084
8,296924000
9,329362167
10,363024959
11,395128167
12,428713625
13,462462459
14,496057750
15,528359834
16,561717792
17,594142917
18,627228625
19,660486792
20,694051292
21,726346250
22,759418209
23,792135250
24,824987042
25,858240459
26,892085792
27,924015625
28,957449417
29,992382709
30,1022872750
31,1056895167
32,1091595625
33,1121770709
34,1155216292
35,1188426084
36,1220836292
37,1253176834
38,1286396292
39,1318543875
40,1352462375
41,1385913542
42,1417186375
43,1450593417
44,1484195875
45,1518203125
46,1551589250
47,1584628625
48,1617431042
49,1650294292
50,1684703167
51,1716163084
52,1749319750
53,1782816875
54,1814064834
55,1846033875
56,1883101834
57,1914700042
58,1948244000
59,1980408125
60,2013029792
61,2049617625
62,2082337834
63,2113570292
64,2146823917
65,2177724000
66,2213419000
67,2245253000
68,2279181667
69,2310101125
70,2342322250
71,2374589917
72,2408421375
73,2440197292
74,2475015500
75,2507703834
76,2539930834
77,2573170167
78,2607742000
79,2641302917
80,2674741750
81,2706831750
82,2740388125
83,2772883417
84,2805852167
85,2838906834
86,2872740209
87,2904984042
88,2938153292
89,2970721334
90,3003777875
91,3036800834
92,3072707500
93,3105287334
94,3138530750
95,3170777417
96,3202405750
97,3234065959
98,3271945459
99,3302739167
100,3335603834
101,3368064125
102,3400042125
103,3464357292
104,3498371542
105,3530470334
106,3563099417
107,3596167375
108,3629832667
109,3661030042
110,3695540709
111,3728596000
112,3762735209
113,3795483709
114,3828091084
115,3861460875
116,3895351542
117,3927244750
118,3960368917
119,3993263250
120,4026190000
121,4058982625
122,4092715084
123,4125159709
124,4159052000
125,4193135292
126,4224013375
127,4258331375
128,4291713042
129,4323508500
130,4355444459
131,4386692917
132,4424221542
133,4456129250
134,4488310167
135,4521524000
136,4553056167
137,4584163250
138,4618984875
139,4650837917
140,4684833834
141,4717310417
142,4748772334
143,4783463875
144,4816096334
145,4849013834
146,4884056375
147,4916108125
148,4948394000
149,4981585084
150,5015676334
151,5049416959
152,5083178375
153,5115471959
154,5147137000
155,5178969875
156,5216242000
