t_s,amp
0.000000,0.013306
0.010000,0.018463
0.020000,0.009216
0.023220,0.006958
0.033220,0.010468
0.043220,0.008728
0.046440,0.035675
0.056440,0.065704
0.066440,0.017181
0.069660,0.018433
0.079660,0.023346
0.089660,0.019897
0.092880,0.014893
0.102880,0.012146
0.112880,0.017914
0.116100,0.018036
0.126100,0.024841
0.136100,0.011047
0.139320,0.010559
0.149320,0.015717
0.159320,0.008148
0.162540,0.019836
0.172540,0.022827
0.182540,0.012543
0.185760,0.019104
0.195760,0.014374
0.205760,0.011536
0.208980,0.017975
0.218980,0.016510
0.228980,0.016266
0.232200,0.018463
0.242200,0.015106
0.252200,0.012329
0.255420,0.013641
0.265420,0.014587
0.275420,0.008881
0.278639,0.014130
0.288639,0.010529
0.298639,0.013367
0.301859,0.021118
0.311859,0.014923
0.321859,0.008545
0.325079,0.009369
0.335079,0.012604
0.345079,0.016693
0.348299,0.016418
0.358299,0.012238
0.368299,0.006531
0.371519,0.012665
0.381519,0.013550
0.391519,0.010864
0.394739,0.016541
0.404739,0.015961
0.414739,0.008423
0.417959,0.013763
0.427959,0.015015
0.437959,0.009918
0.441179,0.012085
0.451179,0.008179
0.461179,0.014801
0.464399,0.019379
0.474399,0.015594
0.484399,0.010803
0.487619,0.010620
0.497619,0.018616
0.507619,0.013641
0.510839,0.013153
0.520839,0.015411
0.530839,0.009125
0.534059,0.013489
0.544059,0.009399
0.554059,0.005981
0.557279,0.011627
0.567279,0.012207
0.577279,0.012360
0.580499,0.015503
0.590499,0.012085
0.600499,0.009796
0.603719,0.011139
0.613719,0.013000
0.623719,0.011353
0.626939,0.015839
0.636939,0.016663
0.646939,0.006012
0.650159,0.011749
0.660159,0.014435
0.670159,0.010254
0.673379,0.023438
0.683379,0.021301
0.693379,0.012970
0.696599,0.017548
0.706599,0.012421
0.716599,0.016388
0.719819,0.012085
0.729819,0.017059
0.739819,0.013275
0.743039,0.015900
0.753039,0.019958
0.763039,0.005798
0.766259,0.017700
0.776259,0.010559
0.786259,0.008087
0.789478,0.010986
0.799478,0.010742
0.809478,0.009766
0.812698,0.012909
0.822698,0.013947
0.832698,0.014191
0.835918,0.014557
0.845918,0.012177
0.855918,0.004578
0.859138,0.005585
0.869138,0.009277
0.879138,0.013275
0.882358,0.015656
0.892358,0.021362
0.902358,0.011353
0.905578,0.014221
0.915578,0.011169
0.925578,0.011475
0.928798,0.014313
0.938798,0.017639
0.948798,0.008392
0.952018,0.015259
0.962018,0.012970
0.972018,0.008148
0.975238,0.011078
0.985238,0.011536
0.995238,0.013611
0.998458,0.016693
1.008458,0.014252
1.018458,0.013947
1.021678,0.014618
1.031678,0.015411
1.041678,0.010864
1.044898,0.013885
1.054898,0.010315
1.064898,0.008148
1.068118,0.016418
1.078118,0.011261
1.088118,0.012238
1.091338,0.012268
1.101338,0.017151
1.111338,0.010620
1.114558,0.011078
