t_ns,ch1_V,ch2_V,ch3_V
0,1.304762,1.309890,1.332601
0,1.327473,1.323810,1.323810
0,1.317216,1.318681,1.310623
1014499,1.309158,1.317216,1.309890
1014499,1.319414,1.320879,1.315018
1014499,1.331136,1.311355,1.312821
1971699,1.330403,1.326740,1.329670
1971699,1.312821,1.308425,1.317949
1971699,1.306960,1.316484,1.315751
2968299,1.298168,1.307692,1.314286
2968299,1.314286,1.320147,1.334799
2968299,1.311355,1.312821,1.298168
6745399,1.315018,1.311355,1.290110
6745399,1.309158,1.309158,1.295238
6745399,1.332601,1.331868,1.322344
6745399,1.307692,1.312088,1.320147
6745399,1.305495,1.309890,1.328938
6745399,1.311355,1.315751,1.318681
6745399,1.322344,1.320879,1.295971
6745399,1.320147,1.313553,1.260806
11850800,1.302564,1.313553,1.270330
11850800,1.321612,1.314286,1.314286
11850800,1.306960,1.312821,1.306960
12031499,1.310623,1.311355,1.315018
12031499,1.296703,1.313553,1.313553
12031499,1.298901,1.313553,1.318681
12031499,1.303297,1.312821,1.312821
12031499,1.302564,1.308425,1.304762
12031499,1.314286,1.312821,1.305495
12031499,1.311355,1.315751,1.311355
12031499,1.323077,1.320147,1.312821
12031499,1.309158,1.312088,1.311355
12031499,1.310623,1.320879,1.306960
12031499,1.308425,1.309158,1.297436
12031499,1.319414,1.315751,1.313553
12031499,1.312088,1.311355,1.315018
12031499,1.309158,1.312821,1.313553
12754800,1.292308,1.309158,1.315751
12754800,1.308425,1.312821,1.311355
12754800,1.305495,1.309158,1.313553
13727599,1.313553,1.312821,1.328205
13727599,1.306227,1.308425,1.323810
14724699,1.306960,1.312088,1.317949
14724699,1.299634,1.316484,1.304762
14724699,1.314286,1.319414,1.285714
16420799,1.300366,1.315751,1.263004
16420799,1.315751,1.327473,1.289377
16420799,1.302564,1.309158,1.295971
16686599,1.307692,1.312821,1.304762
16686599,1.306960,1.309158,1.318681
49670899,1.305495,1.309890,1.313553
49830699,1.304762,1.309890,1.308425
49830699,1.309158,1.312821,1.302564
49830699,1.301832,1.304762,1.297436
59237199,1.302564,1.308425,1.315751
59237199,1.305495,1.314286,1.327473
59237199,1.306227,1.311355,1.327473
59237199,1.312821,1.308425,1.321612
59237199,1.314286,1.310623,1.323810
59237199,1.307692,1.311355,1.269597
59237199,1.311355,1.317949,1.275458
59237199,1.293040,1.309890,1.302564
59237199,1.302564,1.309890,1.315018
64418199,1.304762,1.309158,1.320147
64418199,1.318681,1.310623,1.320147
64418199,1.316484,1.322344,1.322344
64418199,1.315751,1.316484,1.309890
64418199,1.336264,1.323810,1.304762
64418199,1.334066,1.331868,1.307692
64418199,1.302564,1.309158,1.300366
64418199,1.304029,1.309890,1.315751
64418199,1.309890,1.308425,1.326740
64418199,1.312088,1.310623,1.318681
64418199,1.314286,1.316484,1.322344
64418199,1.324542,1.328205,1.315751
64418199,1.317949,1.312821,1.290842
64418199,1.312088,1.322344,1.315751
64418199,1.316484,1.312821,1.313553
64418199,1.307692,1.312821,1.315018
71588399,1.306227,1.305495,1.317216
71588399,1.312821,1.322344,1.313553
71588399,1.313553,1.314286,1.311355
71588399,1.316484,1.314286,1.303297
71588399,1.316484,1.323077,1.307692
71588399,1.306960,1.312821,1.305495
71588399,1.304029,1.313553,1.320879
71588399,1.301832,1.309890,1.317216
71588399,1.295971,1.315751,1.306960
71588399,1.297436,1.318681,1.302564
71588399,1.307692,1.310623,1.293773
71588399,1.283516,1.314286,1.291575
71588399,1.316484,1.315751,1.302564
71588399,1.306227,1.312088,1.300366
71588399,1.315018,1.323810,1.309158
71588399,1.298901,1.309890,1.302564
71588399,1.296703,1.310623,1.306960
71978399,1.298168,1.305495,1.319414
71978399,1.322344,1.329670,1.339194
71978399,1.282051,1.312088,1.312821
71978399,1.311355,1.312821,1.301832
108253799,1.322344,1.331868,1.317216
108253799,1.308425,1.312821,1.299634
108253799,1.306960,1.328938,1.304029
108253799,1.309158,1.312088,1.318681
108253799,1.313553,1.312821,1.318681
108253799,1.308425,1.317216,1.315018
108253799,1.302564,1.312088,1.331868
108253799,1.309890,1.313553,1.332601
108253799,1.311355,1.318681,1.300366
108253799,1.328205,1.334799,1.282784
108253799,1.308425,1.322344,1.243223
108253799,1.309158,1.317216,1.267399
108253799,1.312088,1.317216,1.323077
108253799,1.319414,1.316484,1.352381
108253799,1.317949,1.320147,1.347253
108253799,1.308425,1.317216,1.339927
108253799,1.304762,1.306227,1.298168
108253799,1.313553,1.315751,1.282784
108253799,1.319414,1.327473,1.276923
108253799,1.303297,1.309890,1.273260
108253799,1.309158,1.315751,1.304029
108253799,1.315751,1.309890,1.320879
108253799,1.328205,1.325275,1.336996
108253799,1.311355,1.317949,1.311355
108253799,1.308425,1.310623,1.323077
108253799,1.317949,1.320879,1.330403
108253799,1.304762,1.314286,1.320147
108253799,1.301832,1.310623,1.313553
108704899,1.311355,1.311355,1.315018
108704899,1.328205,1.336264,1.339927
108704899,1.300366,1.309890,1.312088
109688600,1.304762,1.309890,1.321612
109688600,1.302564,1.310623,1.317216
110677899,1.304762,1.312821,1.304029
110677899,1.310623,1.315018,1.263004
110677899,1.306227,1.314286,1.247619
112493599,1.309158,1.312088,1.284982
112493599,1.311355,1.315751,1.312821
112493599,1.308425,1.284982,1.323810
114332899,1.335531,1.328205,1.347253
114719899,1.304029,1.308425,1.321612
114719899,1.307692,1.311355,1.302564
114719899,1.329670,1.329670,1.309158
114719899,1.305495,1.309158,1.288645
114719899,1.323077,1.309890,1.295238
115202199,1.305495,1.317216,1.309890
115202199,1.310623,1.310623,1.308425
119817200,1.306960,1.309890,1.315751
119817200,1.310623,1.315018,1.312821
119817200,1.315018,1.319414,1.326740
148379999,1.323810,1.321612,1.326740
148838199,1.310623,1.310623,1.311355
148838199,1.309158,1.310623,1.309890
148838199,1.307692,1.306227,1.312088
149756999,1.306960,1.310623,1.309158
149756999,1.315018,1.317949,1.315018
154737199,1.309890,1.308425,1.310623
155117399,1.313553,1.313553,1.312821
155117399,1.309158,1.315751,1.312088
155117399,1.304762,1.309890,1.312088
155117399,1.328938,1.326007,1.315018
155117399,1.301832,1.309890,1.294505
155117399,1.331136,1.328938,1.300366
155117399,1.313553,1.313553,1.298901
155117399,1.312088,1.318681,1.295238
155117399,1.323810,1.320147,1.301832
155117399,1.315751,1.315751,1.318681
155117399,1.312821,1.317216,1.309890
155117399,1.290842,1.308425,1.310623
155117399,1.290110,1.313553,1.312088
155868799,1.296703,1.307692,1.308425
156201299,1.306227,1.311355,1.309158
156201299,1.315751,1.317216,1.313553
156878699,1.313553,1.308425,1.317949
156878699,1.320879,1.328205,1.344322
156878699,1.308425,1.308425,1.318681
159072599,1.302564,1.307692,1.310623
159072599,1.312821,1.321612,1.311355
159072599,1.309890,1.312088,1.288645
159072599,1.307692,1.312088,1.276923
159072599,1.313553,1.315751,1.298168
159072599,1.312088,1.308425,1.300366
160815999,1.317949,1.323077,1.310623
160815999,1.312088,1.314286,1.306960
160815999,1.317216,1.314286,1.308425
160815999,1.312088,1.307692,1.304029
160815999,1.314286,1.316484,1.309158
161768299,1.306960,1.312821,1.321612
161768299,1.339927,1.336264,1.355311
161768299,1.309158,1.315018,1.315018
162866300,1.311355,1.307692,1.299634
162866300,1.315018,1.317949,1.287912
162866300,1.304762,1.315751,1.276190
163726899,1.309158,1.307692,1.288645
163726899,1.305495,1.309158,1.309890
163726899,1.333333,1.321612,1.333333
164703799,1.305495,1.322344,1.330403
165721400,1.325275,1.328938,1.339927
165721400,1.306227,1.299634,1.304762
165721400,1.306960,1.310623,1.284249
210427899,1.309890,1.317216,1.289377
210427899,1.309890,1.321612,1.290842
210427899,1.309158,1.315018,1.293040
210427899,1.306960,1.310623,1.304762
210427899,1.308425,1.309158,1.315018
210427899,1.304029,1.306227,1.311355
210427899,1.328205,1.329670,1.360440
210427899,1.312088,1.309890,1.342857
210427899,1.292308,1.306960,1.328938
210427899,1.312088,1.320147,1.309890
210427899,1.329670,1.324542,1.290110
210427899,1.305495,1.310623,1.262271
210427899,1.309158,1.312821,1.278388
210427899,1.309158,1.309158,1.283516
210427899,1.308425,1.311355,1.280586
210427899,1.326007,1.320879,1.307692
210427899,1.304762,1.311355,1.300366
210427899,1.311355,1.314286,1.323077
210427899,1.311355,1.311355,1.340659
210427899,1.316484,1.316484,1.375824
210427899,1.308425,1.312088,1.353846
210427899,1.304762,1.308425,1.326007
210427899,1.310623,1.307692,1.312821
210427899,1.304029,1.306227,1.300366
210981799,1.306227,1.313553,1.298168
210981799,1.315751,1.306960,1.311355
210981799,1.298901,1.303297,1.303297
210981799,1.314286,1.326007,1.309158
210981799,1.311355,1.317216,1.301832
210981799,1.304762,1.311355,1.278388
210981799,1.317216,1.317949,1.280586
210981799,1.309158,1.308425,1.296703
210981799,1.309158,1.312821,1.312821
210981799,1.307692,1.308425,1.306960
210981799,1.309158,1.312821,1.309158
210981799,1.320147,1.319414,1.308425
210981799,1.304029,1.309158,1.300366
210981799,1.312088,1.320147,1.309158
211780500,1.306227,1.313553,1.301832
211780500,1.312088,1.312088,1.308425
211780500,1.309890,1.312088,1.305495
213137799,1.312088,1.312088,1.309158
213137799,1.309890,1.306960,1.309158
213137799,1.310623,1.314286,1.323810
214431499,1.317216,1.322344,1.349451
214431499,1.307692,1.306960,1.319414
214431499,1.307692,1.315018,1.316484
214828999,1.320879,1.327473,1.299634
214828999,1.335531,1.330403,1.287912
214828999,1.312088,1.312821,1.276923
247697799,1.309890,1.314286,1.301832
247697799,1.340659,1.339194,1.336996
247697799,1.331136,1.331868,1.334799
249393799,1.320879,1.332601,1.315018
259433899,1.300366,1.312821,1.292308
259433899,1.325275,1.332601,1.315018
259433899,1.309158,1.316484,1.312821
259433899,1.337729,1.330403,1.330403
259433899,1.309890,1.310623,1.311355
259433899,1.306227,1.307692,1.309158
259433899,1.328938,1.334799,1.347253
259433899,1.312088,1.316484,1.334066
259433899,1.307692,1.304029,1.328938
259433899,1.310623,1.315751,1.328205
