frame_idx,t_ns
0,0
1,33250000
2,72588800
3,95562500
4,130832500
5,159633000
6,208303700
7,243558600
8,273085100
9,309829700
10,338064300
11,369138500
12,403954000
13,440884400
14,466695500
15,495002100
16,527986000
17,562588000
18,608697100
19,644218000
20,679945200
21,709407700
22,737793700
23,771938300
24,801001000
25,835685300
26,867894600
27,896362800
28,928354500
29,959420600
30,1006710300
31,1039645800
32,1076295800
33,1103240100
34,1142208300
35,1172172000
36,1208766400
37,1232532900
38,1263683100
39,1296675000
40,1336658500
41,1360983900
42,1406755300
43,1440383600
44,1476027800
45,1502928200
46,1535242300
47,1567103200
48,1601163400
49,1631968500
50,1663699400
51,1702051600
52,1728316000
53,1760066700
54,1806973700
55,1846161100
56,1878156800
57,1904103900
58,1940871300
59,1974827000
60,1999349200
61,2035869100
62,2067090400
63,2095284900
64,2132830300
65,2169180000
66,2211434700
67,2239990000
68,2270905200
69,2312787800
70,2335995300
71,2367592500
72,2400867500
73,2429938100
74,2462176700
75,2495082600
76,2531593100
77,2559388300
78,2608060500
79,2637933300
80,2669980200
81,2703138100
82,2735800300
83,2774709500
84,2806319200
85,2830524900
86,2864889700
87,2894390000
88,2927089800
89,2959058700
90,3008368900
91,3042071900
92,3070569900
93,3102845100
94,3138748000
95,3167641700
96,3202426100
97,3234960200
98,3263372600
99,3296440200
100,3330613400
101,3358185900
102,3408924400
103,3437966000
104,3479946500
105,3507620700
106,3533885400
107,3574796200
108,3601611700
109,3629945900
110,3667870400
111,3699274100
112,3726976400
113,3761205200
114,3807697600
115,3839044600
116,3871799100
117,3905710000
118,3943029200
119,3966683500
120,4000092400
121,4030056600
122,4070582100
123,4094420200
124,4135396900
125,4161092000
126,4209148800
127,4238920400
128,4273375500
129,4306313100
130,4333828400
131,4370894300
132,4401593700
133,4430568800
134,4463600800
135,4499021000
136,4525988700
137,4560191700
138,4606059800
139,4641310300
140,4670271000
141,4710978600
142,4735108500
143,4768313400
144,4800280600
145,4841738900
146,4864939600
147,4895001300
148,4930144500
149,4958364800
150,5007627300
151,5041416500
152,5069945800
153,5109867700
154,5135085800
155,5175187900
156,5202562000
157,5231047400
158,5271484100
159,5296702900
160,5326792100
161,5366497200
162,5419012800
163,5439436300
164,5472873000
165,5504520800
166,5534726300
167,5567217300
168,5601566400
169,5630180800
