t_s,amp
0.000000,0.006586
0.010000,0.009785
0.020000,0.005374
0.023220,0.013527
0.033220,0.008569
0.043220,0.005917
0.046440,0.009064
0.056440,0.005889
0.066440,0.005781
0.069660,0.009624
0.079660,0.009438
0.089660,0.006470
0.092880,0.007693
0.102880,0.010616
0.112880,0.007462
0.116100,0.004817
0.126100,0.007658
0.136100,0.002798
0.139320,0.009218
0.149320,0.013829
0.159320,0.010697
0.162540,0.005464
0.172540,0.006855
0.182540,0.006059
0.185760,0.007601
0.195760,0.010916
0.205760,0.009871
0.208980,0.010314
0.218980,0.008058
0.228980,0.006022
0.232200,0.007142
0.242200,0.007217
0.252200,0.007869
0.255420,0.008845
0.265420,0.007737
0.275420,0.009105
0.278639,0.007365
0.288639,0.006330
0.298639,0.005131
0.301859,0.006414
0.311859,0.009045
0.321859,0.004283
0.325079,0.004764
0.335079,0.005578
0.345079,0.006097
0.348299,0.004360
0.358299,0.006760
0.368299,0.006469
0.371519,0.006770
0.381519,0.008339
0.391519,0.005709
0.394739,0.006311
0.404739,0.008358
0.414739,0.006513
0.417959,0.009382
0.427959,0.006345
0.437959,0.002555
0.441179,0.007660
0.451179,0.004838
0.461179,0.002174
0.464399,0.009214
0.474399,0.006490
0.484399,0.008542
0.487619,0.008378
0.497619,0.006017
0.507619,0.004719
0.510839,0.005196
0.520839,0.006448
0.530839,0.004264
0.534059,0.011859
0.544059,0.005232
0.554059,0.006023
0.557279,0.006605
0.567279,0.005445
0.577279,0.011796
0.580499,0.010108
0.590499,0.007220
0.600499,0.004123
0.603719,0.006372
0.613719,0.010611
0.623719,0.006382
0.626939,0.007395
0.636939,0.008889
0.646939,0.005014
0.650159,0.007151
0.660159,0.009693
0.670159,0.011905
0.673379,0.005137
0.683379,0.008026
0.693379,0.006159
0.696599,0.006650
0.706599,0.008510
0.716599,0.004733
0.719819,0.005601
0.729819,0.007077
0.739819,0.003557
0.743039,0.007613
0.753039,0.007807
0.763039,0.004645
0.766259,0.008846
0.776259,0.005116
0.786259,0.004814
0.789478,0.006590
0.799478,0.005573
0.809478,0.009387
0.812698,0.008101
0.822698,0.005473
0.832698,0.005998
0.835918,0.006038
0.845918,0.006650
0.855918,0.004919
0.859138,0.005841
0.869138,0.006454
0.879138,0.008523
0.882358,0.012183
0.892358,0.021559
0.902358,0.017168
0.905578,0.033979
0.915578,0.034179
0.925578,0.029869
0.928798,0.031123
0.938798,0.022953
0.948798,0.017921
0.952018,0.010929
0.962018,0.011020
0.972018,0.008713
0.975238,0.014723
0.985238,0.009815
0.995238,0.004460
0.998458,0.014899
1.008458,0.007483
1.018458,0.014044
1.021678,0.012562
1.031678,0.010898
1.041678,0.008767
1.044898,0.011501
1.054898,0.006169
1.064898,0.010242
1.068118,0.011613
1.078118,0.018310
1.088118,0.007859
1.091338,0.007609
1.101338,0.003178
1.111338,0.002465
1.114558,0.007500
1.124558,0.009325
1.134558,0.012284
1.137778,0.011339
1.147778,0.008113
1.157778,0.004433
1.160998,0.005733
1.170998,0.011469
1.180998,0.009293
1.184218,0.009515
1.194218,0.009004
1.204218,0.008465
1.207438,0.004804
1.217438,0.008641
1.227438,0.007246
1.230658,0.006724
1.240658,0.007381
1.250658,0.008486
1.253878,0.007510
1.263878,0.009220
1.273878,0.008021
1.277098,0.009728
1.287098,0.010055
1.297098,0.005716
1.300317,0.009965
1.310317,0.005563
1.320317,0.002886
1.323537,0.007164
1.333537,0.006866
1.343537,0.002989
1.346757,0.008255
1.356757,0.008325
1.366757,0.010062
1.369977,0.013262
1.379977,0.011179
1.389977,0.012110
1.393197,0.012257
1.403197,0.013077
1.413197,0.011277
1.416417,0.009495
1.426417,0.007916
1.436417,0.009511
1.439637,0.011066
1.449637,0.007014
1.459637,0.009979
1.462857,0.011286
1.472857,0.020892
1.482857,0.006873
1.486077,0.011299
1.496077,0.012209
1.506077,0.011011
1.509297,0.011922
1.519297,0.011505
1.529297,0.004905
1.532517,0.011992
1.542517,0.011345
1.552517,0.007712
1.555737,0.011473
1.565737,0.008309
1.575737,0.008196
1.578957,0.011544
1.588957,0.010815
1.598957,0.013416
1.602177,0.012982
1.612177,0.013441
1.622177,0.005000
1.625397,0.008968
1.635397,0.012092
1.645397,0.006880
1.648617,0.010876
1.658617,0.010036
1.668617,0.011284
1.671837,0.011458
