frame_idx,t_ns
0,0
1,32870792
2,65559500
3,100211542
4,133885708
5,164185917
6,197401292
7,230474333
8,263291292
9,296061792
10,329335750
11,363696625
12,395042083
13,428741583
14,461662542
15,494646625
16,527850667
17,562224083
18,593382250
19,626351500
20,659293333
21,692792125
22,725974208
23,758910542
24,792050500
25,825296000
26,857884917
27,890983583
28,923538583
29,957909083
30,989784583
31,1022699250
32,1055751875
33,1088650542
34,1121569583
35,1157964583
36,1190030708
37,1222588875
38,1254188208
39,1286546750
40,1319386833
41,1352791708
42,1384984833
43,1418469083
44,1451062125
45,1484124750
46,1517309417
47,1550628458
48,1585281208
49,1616065292
50,1649158208
51,1682853375
52,1715997708
53,1749069833
54,1781186958
55,1815859792
56,1846968250
57,1879496542
58,1913259083
59,1945635542
60,1979836375
61,2014530125
62,2046113250
63,2079805125
64,2112388625
65,2144890000
66,2177468833
67,2214990500
68,2245286583
69,2277973708
70,2311023708
71,2343879625
72,2375160875
73,2412134375
74,2444377417
75,2475068458
