t_s,amp
0.000000,0.006169
0.010000,0.005435
0.020000,0.005657
0.023220,0.004881
0.033220,0.007169
0.043220,0.004727
0.046440,0.005289
0.056440,0.005958
0.066440,0.006764
0.069660,0.006655
0.079660,0.007154
0.089660,0.005420
0.092880,0.007170
0.102880,0.005325
0.112880,0.004149
0.116100,0.004157
0.126100,0.007179
0.136100,0.005654
0.139320,0.007730
0.149320,0.005778
0.159320,0.003868
0.162540,0.007283
0.172540,0.007873
0.182540,0.010432
0.185760,0.009964
0.195760,0.011064
0.205760,0.008835
0.208980,0.010902
0.218980,0.007357
0.228980,0.006979
0.232200,0.006371
0.242200,0.004310
0.252200,0.005673
0.255420,0.007750
0.265420,0.009447
0.275420,0.004310
0.278639,0.006273
0.288639,0.005670
0.298639,0.004233
0.301859,0.008181
0.311859,0.007679
0.321859,0.006373
0.325079,0.005799
0.335079,0.006355
0.345079,0.005888
0.348299,0.007555
0.358299,0.005178
0.368299,0.004065
0.371519,0.005090
0.381519,0.007770
0.391519,0.005419
0.394739,0.007611
0.404739,0.004774
0.414739,0.005014
0.417959,0.004006
0.427959,0.004979
0.437959,0.003070
0.441179,0.006782
0.451179,0.005978
0.461179,0.007755
0.464399,0.009114
0.474399,0.008606
0.484399,0.004633
0.487619,0.005056
0.497619,0.005212
0.507619,0.004940
0.510839,0.008702
0.520839,0.006865
0.530839,0.007309
0.534059,0.004425
0.544059,0.007185
0.554059,0.005639
0.557279,0.005065
0.567279,0.007687
0.577279,0.008608
0.580499,0.010130
0.590499,0.008729
0.600499,0.003294
0.603719,0.007042
0.613719,0.013325
0.623719,0.004410
0.626939,0.006943
0.636939,0.008129
0.646939,0.008077
0.650159,0.007622
0.660159,0.008826
0.670159,0.007205
0.673379,0.007489
0.683379,0.006813
0.693379,0.005258
0.696599,0.004976
0.706599,0.002500
0.716599,0.003771
0.719819,0.002963
0.729819,0.006887
0.739819,0.006738
0.743039,0.006639
0.753039,0.005078
0.763039,0.004212
0.766259,0.009715
0.776259,0.009418
0.786259,0.006972
0.789478,0.009142
0.799478,0.008048
0.809478,0.006400
0.812698,0.007669
0.822698,0.006217
0.832698,0.005110
0.835918,0.008634
0.845918,0.005106
0.855918,0.005570
0.859138,0.004592
0.869138,0.005078
0.879138,0.004901
0.882358,0.007765
0.892358,0.009898
0.902358,0.003765
0.905578,0.006060
0.915578,0.013260
0.925578,0.012536
0.928798,0.009660
0.938798,0.007649
0.948798,0.003054
0.952018,0.005042
0.962018,0.004579
0.972018,0.004305
0.975238,0.007261
0.985238,0.008226
0.995238,0.007607
0.998458,0.009539
1.008458,0.007606
1.018458,0.004149
1.021678,0.005536
1.031678,0.005484
1.041678,0.001942
1.044898,0.011978
1.054898,0.011336
1.064898,0.008296
1.068118,0.010201
1.078118,0.007264
1.088118,0.001841
1.091338,0.004780
1.101338,0.004098
1.111338,0.003770
1.114558,0.004624
1.124558,0.005197
1.134558,0.006265
1.137778,0.010968
1.147778,0.007482
1.157778,0.004380
1.160998,0.006519
1.170998,0.011059
1.180998,0.003905
1.184218,0.006152
1.194218,0.005967
1.204218,0.003112
1.207438,0.003310
1.217438,0.007240
1.227438,0.005419
1.230658,0.007065
1.240658,0.007345
1.250658,0.003173
1.253878,0.005426
1.263878,0.005603
1.273878,0.005275
1.277098,0.003546
1.287098,0.009291
1.297098,0.004140
1.300317,0.003138
1.310317,0.005508
1.320317,0.005117
1.323537,0.004644
1.333537,0.008273
1.343537,0.005647
1.346757,0.008768
1.356757,0.005584
1.366757,0.002575
1.369977,0.007568
1.379977,0.004474
1.389977,0.005212
1.393197,0.004848
1.403197,0.010588
1.413197,0.004543
1.416417,0.008302
1.426417,0.011676
1.436417,0.006535
1.439637,0.009194
1.449637,0.004421
1.459637,0.005347
1.462857,0.008237
1.472857,0.004732
1.482857,0.004188
1.486077,0.004904
1.496077,0.010561
1.506077,0.005748
1.509297,0.009720
1.519297,0.008140
1.529297,0.011797
1.532517,0.008479
1.542517,0.005809
1.552517,0.006398
1.555737,0.006593
1.565737,0.011177
1.575737,0.008699
1.578957,0.008021
1.588957,0.009141
1.598957,0.006295
1.602177,0.005647
1.612177,0.006300
1.622177,0.007201
1.625397,0.007704
1.635397,0.009463
1.645397,0.008555
1.648617,0.004151
1.658617,0.007097
1.668617,0.003286
1.671837,0.005334
1.681837,0.008754
1.691837,0.003426
1.695057,0.007362
1.705057,0.006837
1.715057,0.005506
1.718277,0.006440
1.728277,0.011681
1.738277,0.005300
1.741497,0.006265
1.751497,0.007396
1.761497,0.004040
1.764717,0.002518
1.774717,0.004893
1.784717,0.004770
1.787937,0.005334
1.797937,0.004084
1.807937,0.003082
1.811156,0.021445
1.821156,0.014657
1.831156,0.016493
1.834376,0.015124
1.844376,0.012857
1.854376,0.010943
1.857596,0.010857
1.867596,0.012026
1.877596,0.012922
1.880816,0.013804
1.890816,0.009450
1.900816,0.005479
1.904036,0.008735
1.914036,0.009860
1.924036,0.002620
1.927256,0.008620
1.937256,0.005931
1.947256,0.010132
1.950476,0.009079
1.960476,0.005970
1.970476,0.004500
1.973696,0.006897
1.983696,0.007340
1.993696,0.001956
1.996916,0.007681
2.006916,0.008599
2.016916,0.003520
2.020136,0.006916
2.030136,0.006716
2.040136,0.004891
2.043356,0.007612
2.053356,0.004567
2.063356,0.002700
2.066576,0.005978
