frame_idx,t_ns
0,0
1,31944084
2,63628167
3,96958042
4,130067750
5,164325959
6,196271875
7,229554625
8,262495000
9,295572167
10,328071875
11,363007834
12,394590250
13,428213584
14,461374750
15,494139584
16,526750000
17,561540334
18,592199959
19,625506584
20,658669709
21,691637584
22,724670334
23,759115375
24,790435292
25,824003709
26,856715542
27,888950250
28,922069042
29,959182834
30,987708917
31,1022822709
32,1054537084
33,1086753875
34,1119608584
35,1154181375
36,1186572625
37,1219058042
38,1251667209
39,1285181792
40,1318368500
41,1352239709
42,1383704250
43,1416823250
44,1450229584
45,1483614959
46,1516090292
47,1550482084
48,1582598750
49,1615917167
50,1649059834
51,1681896292
52,1715089209
53,1749469959
54,1780768667
55,1814096667
56,1846973375
57,1879565959
58,1912905792
59,1946532750
60,2012336125
61,2044864167
62,2079541209
63,2113097792
64,2144066459
65,2177433167
66,2211972500
67,2244011334
68,2278152459
69,2309042709
70,2341505500
71,2375552917
72,2407192542
73,2439769375
74,2473212209
75,2506105500
76,2538942792
77,2573674625
78,2605537459
79,2638200792
80,2671112875
81,2704608834
82,2737656875
83,2770865000
84,2804063709
85,2837361834
86,2869779709
87,2904107167
88,2936288292
89,2970136125
90,3000687875
91,3034847084
92,3070288959
93,3103111500
94,3136828500
95,3167539834
96,3200943959
97,3233049292
98,3265632625
99,3302567500
100,3335019084
101,3367435167
102,3399074167
103,3431339625
104,3464362375
105,3496640959
106,3529983667
107,3563666875
108,3594521625
109,3627746084
110,3661137542
111,3694730417
112,3727487834
113,3760880250
114,3793525834
115,3826972209
116,3860079542
117,3891754834
118,3925847959
119,3993807042
